ASSIGNED_GROUP,PRIORITY,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS
ITS00361,Low,99.48,35.4
NW000405,Medium,99.13733791748535,28.166286836935154
NW000521,Medium,99.10333333333334,26.095000000000002
ITS00100,Medium,99.07,26.65
EDC00010,Low,97.84709302325584,27.87918604651163
ITS00313,Medium,96.325,25.325
DC000141,Medium,96.15,20.15
NW000438,Low,95.51301166824355,25.071863765373713
DC000115,Medium,94.96349593495928,27.586666666666666
EDC00030,High,94.41833333333334,94.41833333333334
ITS00308,Medium,94.05,8.03
NW000434,Low,93.75999999999999,20.465
DC000155,Low,93.41789260385012,24.608601823708195
DC000119,Low,93.23704918032787,27.01262295081967
EDC00024,Low,93.06275000000002,28.356000000000005
SM000560,Low,92.74000000000001,26.729999999999997
NW000472,Medium,91.14,15.13
ITS00306,Low,90.80824675324678,24.147207792207784
DC000223,Medium,90.58304347826088,23.520434782608703
NW000417,Medium,90.26755102040812,25.592244897959194
ESI00011,Medium,89.65296296296295,25.816296296296287
ESI00011,High,88.97,88.97
NW000476,Medium,88.84,30.0
ITS00321,Low,88.50666666666666,20.506666666666668
DC000178,Low,88.48261261261263,24.18045045045045
DC000178,High,88.17500000000001,88.17500000000001
NW000417,Low,87.9661421670116,24.084261559696348
ITS00309,Medium,87.79,13.57
ESI00012,Low,85.64999999999999,26.415
ITS00322,Medium,85.41771428571431,26.179714285714287
DC000133,Medium,84.95249999999997,23.58578571428571
DC000209,Low,84.61571904497495,22.515741254858384
NW000489,Low,83.77850000000002,23.0475
DC000129,Low,82.5981081081081,23.403547297297305
NW000405,Low,82.27148010610088,20.91358090185675
ITS00307,Medium,82.2456862745098,20.687450980392157
SM000502,High,82.14,82.14
DC000229,Low,81.50757142857142,21.802285714285702
EDC00009,Low,80.85243902439024,22.718292682926837
NW000448,Low,80.71047138047139,20.162020202020205
DC000216,Low,80.62444444444445,27.858888888888888
DC000133,Low,79.8177774806098,22.176135330302188
SM000557,Medium,79.66555555555556,20.33222222222222
NW000431,Low,79.34453558504227,22.90402895054282
NW000433,Low,78.52710054559617,19.16949337490257
NW000431,Medium,78.39052950075651,24.40124054462934
NW000509,Medium,78.16344827586208,24.58551724137931
NW000410,Low,77.4,15.4
DC000107,Medium,77.2989711934157,21.375514403292172
EDC00018,Low,77.20754901960784,23.284509803921573
SM000501,Low,75.38,23.82
DC000233,Low,73.80999999999997,21.73073170731708
DC000202,Low,72.75013333333337,20.77394545454542
DC000223,Low,71.50384615384615,20.127692307692307
NW000463,Low,70.86460770328095,15.884407988587723
DC000190,Low,69.91666666666667,23.153333333333336
NW000404,Low,68.28145728643214,22.075728643216078
DC000163,Low,67.06766467065863,19.242455089820364
NW000492,Low,67.0142857142857,18.467142857142854
EDC00040,Low,66.9725,23.4775
DC000132,High,66.58363636363636,66.58363636363636
DC000129,Medium,66.45848484848483,18.79090909090909
NS000101,Low,65.058,18.864
DC000242,Low,63.154626865671624,18.03970149253731
EDC00006,Low,61.244194528875326,16.55607902735563
NW000471,Medium,59.63,2.18
EDC00089,Low,59.5475,11.14
NW000449,High,59.309999999999995,59.309999999999995
DC000128,Low,58.651106290672466,17.371041214750544
DC000179,High,58.22,58.22
ITS00340,Low,57.69814814814816,16.37814814814815
DC000107,Low,57.08456692913387,14.022283464566923
SM000515,Medium,56.04999999999999,11.183333333333332
DC000206,Low,54.59124681933838,13.700025445292617
NW000453,High,54.5,54.5
ITS00344,Low,54.45593750000001,12.909218749999999
COR00553,Low,54.06,10.0
ENT00002,Low,53.5,17.23
DC000246,Medium,53.20857142857142,7.249999999999999
DC000228,Low,51.175,13.27
DC000207,Medium,51.112513812154724,13.884033149171275
EDC00002,Low,50.61276958002276,12.340544835414306
SM000558,Low,50.41242187500001,12.409453125
DC000127,Medium,49.6321497584541,14.654734299516909
ITS00307,Low,48.73125,14.723749999999999
DC000131,Low,48.550000000000004,14.477857142857143
NW000471,Low,47.79333333333333,3.1788888888888884
NW000400,High,47.74,47.74
DC000155,Medium,46.44145970252506,12.345783465928731
NW000433,Medium,44.54545698924729,12.443440860215052
DC000128,Medium,44.155454545454546,14.07318181818182
EDC00051,Low,43.970000000000006,12.77
EDC00048,Medium,43.62,15.62
ITS00370,Low,43.082499999999996,13.5825
EDC00006,Medium,42.44,0.0
NW000431,High,42.21038461538462,42.21038461538462
EDC00053,Medium,41.76,13.75
NW000430,Medium,41.647649572649584,9.27683760683761
ITS00375,Medium,40.930526315789464,7.847719298245614
NW000463,Medium,40.917117346938774,9.852525510204083
NW000420,Low,40.71878787878788,12.770303030303031
DC000206,High,40.20592592592593,40.20592592592593
DC000139,Medium,40.04,5.315
NW000449,Low,39.86905759162305,6.9649738219895285
NW000455,Medium,39.33,15.73
ITS00325,Low,39.071250000000006,10.37375
DC000110,Medium,39.03999999999999,8.518888888888888
DC000178,Medium,39.00393939393938,7.277575757575757
ENT00042,Low,38.964999999999996,15.76
ITS00106,Low,38.96,6.72
DC000200,Medium,38.92144444444444,6.586444444444448
NW000414,High,37.832407407407416,37.832407407407416
DC000221,Low,37.54894654088052,8.211949685534583
DC000188,Low,37.452771767130294,9.998119526017552
NW000459,Low,37.01154428126394,7.541232754784167
ITS00321,Medium,36.644,9.974
SM000561,Low,36.63077669902912,10.442815533980584
NW000414,Medium,36.542926829268296,9.453170731707313
ITS00381,Low,36.330751445086705,12.212369942196537
DC000242,Medium,35.314681372549025,8.93654411764706
EDC00029,High,34.874878048780474,34.874878048780474
DC000245,Low,34.41449799196786,4.573092369477908
NW000459,Medium,34.23711695376249,6.695457842248409
DC000176,Medium,33.725,5.814062500000001
ITS00327,Low,33.58,7.65
NW000405,High,33.32176470588235,33.32176470588235
NW000417,High,33.25666666666667,33.25666666666667
NW000508,Medium,33.25272727272727,8.872727272727273
EDC00066,Low,32.606,5.512
NW000414,Low,31.869436619718318,8.37
DC000130,Low,31.235571428571443,8.877607142857151
DC000222,Medium,29.767999999999994,8.5
ITS00306,Medium,29.612537313432846,6.136268656716417
DC000113,Low,29.408221024258783,7.124743935309978
DC000170,Low,29.23,4.83
DC000152,Medium,29.114625661709105,6.836664986135626
NW000447,Low,28.882413793103442,7.309999999999999
NW000483,Low,28.863333333333333,2.1883333333333335
ESI00026,High,28.43,28.43
NW000430,High,28.163999999999998,28.163999999999998
ITS00359,Low,27.950000000000003,4.3
ITS00340,Medium,27.830512820512816,8.456923076923077
DC000113,Medium,26.807565217391314,4.639217391304348
ITS00381,Medium,26.515,10.815
NW000463,High,26.5125,26.5125
DC000107,High,26.1843537414966,26.1843537414966
ITS00358,Medium,25.54707182320442,8.45053406998158
CG4TECH,Low,25.34,11.05
EDC00021,Low,25.23054421768709,6.401496598639457
DC000163,Medium,24.740000000000006,10.420000000000002
NW000459,High,24.697258064516127,24.697258064516127
DC000156,Low,24.5555160142349,5.4216370106761484
DC000206,Medium,23.713060109289632,4.727322404371583
EDC00008,Low,23.464444444444446,7.089722222222223
DC000222,Low,23.42,2.975
DC000147,Medium,23.35631578947369,6.147368421052631
ITS00347,Low,23.35,9.14
DC000152,Low,22.646356726179945,4.480247480996997
DC000237,Low,22.418333333333333,10.751666666666667
DC000113,High,21.715,21.715
NW000429,High,20.793333333333333,20.793333333333333
ESI00028,Low,20.755000000000003,7.21875
NW000484,Low,20.185000000000002,6.195
DC000186,Medium,20.15,7.02
DC000188,Medium,19.992160000000005,5.870560000000002
NW000404,Medium,19.9225,1.5325
DC000176,Low,19.916708463949846,4.485015673981192
ESI00026,Low,19.76,5.77
DC000127,Low,18.17140250447225,9.225398926654735
NW000434,High,17.5,17.5
DC000179,Medium,17.16,4.653333333333333
ITS00322,High,17.031000000000002,17.031000000000002
ENT00003,Low,16.61111111111111,4.788888888888889
DC000122,Medium,16.35,4.65
DC000202,High,16.20675,16.20675
DC000173,Low,15.918000000000001,6.433999999999999
DC000111,High,15.73,15.73
NW000448,High,15.155000000000001,15.155000000000001
ITS00340,High,14.919333333333334,14.919333333333334
DC000147,Low,14.61225,2.22375
DC000101,Low,13.981666666666662,3.0458333333333325
NW000448,Medium,13.615,3.025
DC000203,Low,13.398069215291818,1.6816643863179093
NW000420,Medium,13.26764705882353,2.9635294117647057
NW000434,Medium,12.72,1.82
DC000188,High,12.4328125,12.4328125
EDC00068,Medium,12.04,4.07
SM000557,High,11.776363636363635,11.776363636363635
DC000156,Medium,11.227666666666668,2.0966666666666667
ITS00103,Low,10.86,1.92
DC000203,High,9.763333333333334,9.763333333333334
SM000537,High,9.75,9.75
DC000110,High,9.585,9.585
DC000200,High,9.402857142857142,9.402857142857142
NW000438,High,8.24,8.24
NW000427,Medium,7.389761904761899,2.0279365079365084
SM000558,High,7.088000000000001,7.088000000000001
DC000152,High,6.971326034063262,6.971326034063262
NW000481,High,6.95,6.95
DC000156,High,6.91,6.91
ESI00028,Medium,6.64,6.65
NW000447,Medium,6.375,4.125
DC000127,High,4.087142857142857,4.087142857142857
DC000139,High,3.9,3.9
DC000130,Medium,3.6278431372549007,0.8201960784313727
NW000420,High,3.471818181818182,3.471818181818182
DC000151,High,2.72,2.72
SM000586,Low,2.67,0.0
SM000562,Low,2.549368370298941,0.6739537126325896
EDC00043,Medium,2.52,2.53
DC000129,High,2.365,2.365
SM000562,Medium,2.2964027370478926,0.4211876832844547
DC000131,Medium,2.26,1.135
DC000193,Low,1.8450000000000002,1.725
SM000561,Medium,1.7691666666666668,0.41083333333333333
EDC00024,Medium,1.66,0.0
ITS00347,Medium,1.42,1.425
EDC00027,Low,1.34,1.35
DC000236,High,1.28,1.28
SM000514,High,1.2,1.2
SM000562,High,1.0877419354838707,1.0877419354838707
NDS00028,Low,1.08,0.0
ITS00344,High,1.0342857142857143,1.0342857142857143
NW000428,Low,0.93,0.275
DC000119,Medium,0.78,0.78
DC000147,High,0.76,0.76
DC000101,High,0.69,0.69
DC000217,Low,0.55,0.55
EU000203,High,0.42,0.42
NDS00039,Low,0.36,0.37
NW000457,Low,0.31,0.3
DC000166,Low,0.15,0.15
DC000226,Low,,
