service,PRIORITY,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS
Email,Medium,17.01764705882352,4.974602076124568
Fixed Line,Medium,12.72,1.82
Firewall,High,10.501363636363637,10.501363636363637
IBN - GC Wi-Fi,High,8.24,8.24
Middleware,High,6.971326034063262,6.971326034063262
HPC -Big Data Exchange,High,4.087142857142857,4.087142857142857
Database,High,3.9,3.9
HPC - Interaction & Visualization,Medium,3.6278431372549007,0.8201960784313727
Intra-building Network Services,High,3.5741176470588236,3.5741176470588236
Mainframe,High,1.7400000000000002,1.7400000000000002
-1,Medium,1.1853846153846155,0.1992307692307692
Storage - File,High,0.42,0.42
