assigned_group,TIME_IN_STATUS_BY_OWNER_HRS
SM000573,0.0
DC000166,0.0
NW000441,0.0
DC000186,0.0
AP000007,0.0
ITS00108,0.0
ITS00106,0.0
ITS00100,0.0
EDC00041,0.0
NW000467,0.0
DC000226,
ITS00373,
ITS00400,
