assigned_group,STATUS,TIME_IN_STATUS_BY_OWNER_HRS
ESI00019,AWAITCUS,875.18333333
NS000101,AWAITCHG,865.3
NW000415,PENDINGREV,854.8166666766666
DC000143,QUEUED,851.8023809471857
EDC00089,SLAHOLD,822.7
COR00556,AWAITCHG,820.26666667
ITS00363,AWAITCUS,814.68333333
ITS00375,SLAHOLD,807.91666667
ITS00322,PENDINGVEN,800.06666667
CG4TECH,AWAITCUS,778.833333335
ITS00356,QUEUED,776.8820512897
EDC00085,INPROG,753.83333333
DC000155,PENDINGCHG,751.60833331665
ITS00302,PENDINGREV,744.86666667
SM000549,AWAITCHG,738.50999999334
DC000218,QUEUED,733.9
NS000115,SLAHOLD,731.78333333
DC000149,INPROG,730.45
PM000611,INPROG,727.2899999999399
NW000465,QUEUED,725.46666667
COR00552,AWAITVEN,722.2791666675
NW000483,AWAITVEN,720.491666665
DC000222,AWAITVEN,715.05
DC000226,QUEUED,693.841666666675
ENT00020,QUEUED,688.5
NW000459,PENDINGREV,687.0777777666667
DC000145,QUEUED,685.9428571426213
DC000213,SLAHOLD,684.64999998335
NW000432,AWAITCHG,680.11666667
SM000557,AWAITVEN,675.75
NW000441,QUEUED,674.6468750000187
PM000611,QUEUED,664.8354166583375
DC000185,QUEUED,664.7833333433333
DC000256,QUEUED,663.024999991675
SM000501,SLAHOLD,661.8111111009999
SM000501,AWAITCHG,661.7124999924999
EU000206,INPROG,650.1374999916751
ITS00322,PENDINGCHG,648.81666667
SM000557,AWAITCHG,647.8699999940001
ITS00327,PENDINGREV,646.433333335
DC000199,QUEUED,640.9251054871228
DC000114,PENDINGREV,639.0
ITS00371,INPROG,637.3833333165
DC000205,AWAITVEN,636.89999998335
ESI00026,AWAITCHG,629.15
NW000467,INPROG,627.2875000091751
NW000502,AWAITVEN,625.88333333
SM000547,QUEUED,612.020833325
EDC00098,AWAITCHG,609.7611111
DC000180,QUEUED,607.538605441115
NW000423,AWAITCUS,605.97916665875
ESI00026,PENDING,604.5333333392001
PM000613,QUEUED,603.7458333332501
DC000198,AWAITCHG,603.31666667
ENT00003,PENDING,602.61666667
NW000461,SLAHOLD,602.358333335
NW000456,QUEUED,596.4214285815715
SM000507,QUEUED,594.84999998335
ITS00308,PENDINGCHG,592.11666667
ITS00362,QUEUED,592.1138888876251
NW000467,QUEUED,589.36833333667
ENT00039,PENDINGREV,583.6111111133333
ITS00329,AWAITCUS,583.18666666364
COR00557,SLAHOLD,581.108333342125
NW000454,QUEUED,574.0125000084249
ITS00346,AWAITVEN,572.7222222333334
ITS00353,AWAITCHG,572.608333335
NW000415,INPROG,572.6
PMCHGMA,INPROG,571.3
NW000495,AWAITCUS,568.06666667
ITS00102,AWAITCUS,567.0
DC000230,QUEUED,566.6011904761929
DC000180,SLAHOLD,565.5250000111
ITS00101,INPROG,565.387037037
ITS00306,PENDINGREV,561.1264367813932
DC000246,AWAITCHG,559.78333333
NW000469,AWAITVEN,558.05
ENT00008,INPROG,557.4714285661859
DC000249,AWAITCHG,551.8666666606
NW000428,SLAHOLD,551.3366666746599
DC000108,PENDINGVEN,547.28333333
NSD00021,PENDING,545.48333333
ITS00336,QUEUED,544.4126666693079
NW000401,PENDING,540.85
COR00553,AWAITVEN,539.2074074061111
AP000004,QUEUED,537.9
NW000435,AWAITCUS,537.61666667
NW000443,INPROG,536.4166666833501
PM000614,AWAITCHG,532.66666667
NW000445,PENDINGCUS,522.4462962955555
ITS00324,QUEUED,522.1944444556666
DC000119,PENDINGCHG,519.48333333
DC000236,SLAHOLD,516.6593750001394
ITS00390,AWAITCUS,512.45
ESI00054,SLAHOLD,511.6361111161666
DC000217,QUEUED,508.20000000000005
SM000564,QUEUED,505.38333333
NW000439,PENDING,503.28333333
SM000568,AWAITCUS,502.8400000074001
EU000206,QUEUED,500.4420634936667
AP000001,AWAITCUS,499.93333333
NW000490,AWAITCHG,496.36666666660005
DC000125,AWAITCUS,490.02619047620004
NW000436,PENDING,488.58333333
ITS00354,QUEUED,487.22777776666663
SM000532,INPROG,485.16666666055
EDC00066,PENDINGCHG,483.56666667
ITS00301,INPROG,483.48333333
EDC00098,PENDINGVEN,483.05999999466
NW000451,QUEUED,481.89166666240425
SM000501,PENDINGCUS,481.71666666665
SM000573,QUEUED,481.166666665
EDC00058,INPROG,478.61666667
DC000125,AWAITVEN,477.83333333250005
ITS00371,AWAITCHG,474.26666667
ENT00008,PENDINGREV,474.12857143428573
NW000419,AWAITCHG,473.6999999977667
DC000176,PENDING,473.36666667
EDC00024,PENDING,472.14444444433326
EDC00028,QUEUED,471.56222222446667
NW000481,SLAHOLD,469.34243641307785
DC000141,PENDINGREV,467.9533333315333
NW000436,QUEUED,466.7361111130944
NW000476,INPROG,466.13809523810005
ESI00012,HISTEDIT,464.375
SM000515,PENDING,464.06666667
DC000201,SLAHOLD,463.99444443323324
NW000425,SLAHOLD,462.0972222215667
NW000444,SLAHOLD,460.74285714445716
DC000117,SLAHOLD,455.6034825867372
ITS00329,QUEUED,453.2658469958892
GOP00001,QUEUED,450.0
DC000220,QUEUED,447.6888888777667
ITS00305,QUEUED,445.199999989
ITS00345,AWAITVEN,442.79444444443334
ITS00308,PENDING,441.05666666666
NW000435,PENDINGREV,440.4
DC000207,AWAITCUS,439.79999999999995
DC000160,QUEUED,439.02777777766664
NW000469,QUEUED,439.0096491203686
CB000600,SLAHOLD,437.4916666665
NW000461,AWAITVEN,436.558333335
NW000484,SLAHOLD,433.71666667
ITS00338,SLAHOLD,431.983333335
CHNGMGMT,QUEUED,430.34583332962507
NW000481,AWAITVEN,427.8064236111115
DC000224,AWAITCHG,427.40833333
ITS00338,AWAITCUS,427.26666666594
DC000257,SLAHOLD,425.7361111054999
SM000500,SLAHOLD,425.3
EDC00062,PENDINGVEN,424.22777778899996
ESI00012,AWAITCUS,424.1566666732
NW000481,INPROG,424.09254981815394
ESI00054,QUEUED,420.2941666652002
ITS00306,PENDINGCHG,414.9277777766667
ENT00036,INPROG,413.15416666675003
DC000199,AWAITCUS,413.03333333406
NW000478,QUEUED,412.5388888866667
NW000472,AWAITVEN,409.4219298230788
NW000484,AWAITCUS,407.937499999175
NW000416,QUEUED,405.291666665
ITS00304,QUEUED,403.2414893624681
NW000447,SLAHOLD,403.0530303023909
ENT00011,QUEUED,402.5
NW000415,QUEUED,402.408333333325
DC000166,AWAITCUS,401.333333335
AP000003,QUEUED,399.46666667
DC000249,AWAITVEN,399.2205128197154
DC000199,AWAITCHG,398.51666667
ITS00323,SLAHOLD,397.91666667
ITS00304,AWAITCUS,395.64166667
NW000481,AWAITCHG,395.28999999999996
DC000246,QUEUED,394.25303030306367
ESI00055,QUEUED,392.23333333
ITS00359,AWAITCHG,391.827083329125
SM000517,PENDINGCUS,391.70000000165
DC000210,AWAITVEN,391.48611110505004
CHAT_Q,PENDINGREV,391.06666667
NW000516,QUEUED,390.61666666499997
ITS00371,AWAITCUS,390.31666667
NW000452,AWAITVEN,389.48666666220004
EDC00098,PENDINGREV,388.762500009175
DC000259,QUEUED,388.6
NDS00038,QUEUED,388.44166666999996
NW000443,AWAITCUS,387.2388888866667
DC000211,QUEUED,386.76491227900533
EDC00098,AWAITCUS,382.7611111211
ITS00378,INPROG,382.720833341575
DC000123,AWAITCUS,381.54999999925
CHAT_Q,QUEUED,379.71666667
ITS00332,PENDINGVEN,379.65000000074446
DC000122,SLAHOLD,377.7100877217606
NW000403,PENDINGREV,377.5387096792839
NW000441,PENDING,377.41666667
NW000410,PENDINGVEN,376.98333333
DC000119,AWAITVEN,372.568666665308
SM000549,QUEUED,372.35031446435846
NW000488,SLAHOLD,371.76333333326
DC000116,INPROG,371.03888889
NW000408,AWAITCHG,369.68333333790724
SM000514,INPROG,369.47466666814796
DC000107,PENDING,369.30555555433335
NW000492,SLAHOLD,368.67666667354
DC000224,SLAHOLD,368.1538461536077
NW000400,AWAITVEN,366.90208333335625
ITS00301,QUEUED,365.83229166898127
DC000121,PENDINGCUS,365.28333333
NW000443,QUEUED,364.30999999944663
COR00055,QUEUED,363.512500000825
DC000134,AWAITCUS,362.50526315679286
NW000439,AWAITCHG,362.21111110009997
DC000111,SLAHOLD,361.13936039279605
NW000438,AWAITCHG,360.5035353562909
DC000120,AWAITCHG,358.4939393969091
ITS00311,PENDINGREV,354.425
DC000134,PENDINGREV,353.46666666500005
DC000199,SLAHOLD,352.10416667490006
DC000249,SLAHOLD,351.76000000022003
DC000149,PENDINGREV,351.29999999666666
NW000502,SLAHOLD,350.9666666685
NW000401,AWAITCUS,349.1916666662612
ENT00026,PENDINGREV,347.2
NW000481,AWAITCUS,346.9600000023447
DC000147,AWAITVEN,346.48333333
ESI00045,INPROG,346.28181818484546
EDC00065,AWAITCUS,345.78888888899996
SM000515,QUEUED,344.8911111142
DC000201,QUEUED,343.1756218919446
DC000156,SLAHOLD,343.12187500358135
ITS00352,AWAITVEN,343.088888889
DC000104,QUEUED,342.0289915969622
DC000187,AWAITCUS,341.94166666499996
NSD00020,INPROG,341.38333333
NW000419,PENDINGCUS,341.33333333
EDC00048,PENDINGCUS,340.16666667
NW000490,QUEUED,338.7812757184334
ENT00036,QUEUED,337.38333333426664
NW000507,QUEUED,336.7742424212182
ITS00342,AWAITCHG,335.5333333325
EDC00075,INPROG,335.46388888878334
ENT00008,QUEUED,335.316666666625
SM000508,QUEUED,335.2458333375
NW000413,PENDINGCUS,334.0749999985
SM000500,QUEUED,333.68214285454997
NW000461,QUEUED,332.85529100579845
EU000204,QUEUED,332.55833333165
DC000120,SLAHOLD,332.52027027025946
NW000440,PENDINGVEN,331.920833334175
ITS00370,AWAITVEN,331.49166666499997
NW000474,AWAITCUS,330.35333333333995
EDC00002,SLAHOLD,328.308333335
ENT00036,AWAITVEN,327.475
ITS00309,AWAITVEN,326.954166665
ITS00304,SLAHOLD,326.6047619047571
NDS00010,QUEUED,325.43333333
AP000011,QUEUED,325.083333335075
SM000547,AWAITCUS,324.45
NW000489,AWAITVEN,324.3
EU000203,AWAITCHG,323.9416666666
EDC00003,PENDINGREV,322.85
ITS00383,QUEUED,322.5561224492674
NW000432,AWAITCUS,322.19444444414165
NW000445,INPROG,322.162075847858
NW000419,AWAITCUS,321.9699999973134
NW000487,QUEUED,318.5
NW000460,AWAITCUS,318.495833333325
DC000134,PENDINGCUS,315.76666667
NW000419,SLAHOLD,315.57500000045
DC000127,AWAITVEN,314.3197530829407
DC000107,PENDINGREV,313.9645833325
DC000170,QUEUED,312.67499999165005
ITS00374,AWAITCUS,312.13333333377005
ITS00304,INPROG,311.32314814845006
DC000115,SLAHOLD,311.20606758768446
DC000178,AWAITCUS,310.3716666629999
NW000448,SLAHOLD,310.11344085871934
ESI00026,PENDINGVEN,309.35
ITS00367,SLAHOLD,308.37916666675
ESI00028,AWAITVEN,308.09166666505
NW000476,AWAITCHG,308.075
DC000156,PENDINGREV,306.7138888883333
NW000473,SLAHOLD,306.70040983608686
DC000117,PENDINGVEN,305.4791666675
DC000111,PENDINGVEN,305.2877777755133
NW000445,AWAITCHG,303.46499999933997
DC000111,AWAITCHG,303.10392157095885
EDC00060,QUEUED,302.78000000732004
NW000403,PENDINGVEN,302.493333334
COR00556,QUEUED,301.137500008425
EDC00098,AWAITVEN,301.08095238
DC000138,QUEUED,299.758333335
NW000456,INPROG,299.64333333926004
ITS00341,SLAHOLD,299.40531400937687
ITS00344,AWAITCHG,299.3083333309714
NW000438,AWAITVEN,298.49254385887633
CHAT_Q,INPROG,298.283333335
NW000489,INPROG,296.5242424227591
SM000520,SLAHOLD,296.22499999850004
NW000423,AWAITCHG,295.7
NW000429,PENDINGREV,294.08666666666
ESI00025,SLAHOLD,293.05
EDC00052,QUEUED,293.0
ITS00326,PENDING,292.273333334
DC000139,AWAITVEN,291.933333335
DC000233,AWAITCUS,291.1757575764
SM000547,INPROG,291.083333335
SDATIER1,QUEUED,290.39814814736667
NW000414,AWAITVEN,289.963653846527
EDC00099,AWAITCUS,289.38333333
EDC00066,INPROG,289.28965517499313
NW000440,AWAITCHG,288.85101010098197
ESI00012,QUEUED,287.91359223181945
DC000132,AWAITVEN,287.11694915241964
NW000445,AWAITCUS,286.48317610071234
SM000560,INPROG,285.61666665825
DC000146,PENDINGREV,285.33333333
ENT00039,QUEUED,285.27424242457874
DC000104,AWAITCUS,284.45000000100003
NW000519,INPROG,284.3222222211
DC000209,AWAITVEN,283.66333333330005
NW000441,SLAHOLD,282.391666665
NW000403,AWAITCHG,280.95947712624707
NW000447,PENDINGCUS,280.7499999989
ENT00016,QUEUED,280.1742424239455
SM000549,INPROG,279.989999998835
SM000549,AWAITCUS,279.23222222159995
DC000195,QUEUED,279.0962481960767
DC000186,AWAITCUS,276.93166666929994
EDC00096,QUEUED,276.37222222233333
SM000516,QUEUED,276.0944444433333
DC000106,QUEUED,274.53809523671424
EDC00066,PENDINGREV,274.32500000832505
DC000117,PENDINGREV,273.7750000025
EDC00030,PENDING,273.3666666665
NW000406,QUEUED,273.3344086020839
NW000411,PENDINGREV,271.5055555533333
DC000191,AWAITVEN,271.09666666600003
NW000484,INPROG,270.616666666675
NW000400,PENDING,270.49166666665
CG4TECH,QUEUED,270.33627450848826
NW000451,SLAHOLD,270.0
ITS00109,SLAHOLD,269.43333333
EDC00006,PENDINGREV,269.28888888766664
EDC00031,AWAITCUS,268.52777777766664
ESI00028,PENDINGREV,268.18888888833334
NW000439,PENDINGREV,267.90000000000003
NW000457,QUEUED,266.79310897354026
ESI00012,PENDING,266.444444445
DC000134,AWAITCHG,266.15666666668005
COR00553,AWAITCHG,266.13666666825196
ITS00308,PENDINGREV,265.99583333255833
SM000514,AWAITCUS,265.8238095228572
SM000514,QUEUED,265.2622047242559
NW000425,INPROG,264.52333333629997
PM000604,QUEUED,263.38333333
NW000452,PENDINGREV,263.37999999874006
DC000154,PENDINGREV,263.36666666499997
SM000550,QUEUED,262.841666665825
NW000419,AWAITVEN,262.04333333334
NW000474,SLAHOLD,261.03333333
NW000429,AWAITCHG,261.03070175331055
DC000115,AWAITCHG,260.6728205125046
SM000520,PENDINGREV,260.06666667
NW000411,QUEUED,259.9722222209584
ITS00358,AWAITVEN,259.9444444480777
DC000111,AWAITCUS,259.8742753621978
ESI00043,QUEUED,258.69562841627214
DC000187,QUEUED,258.17888888935335
NW000440,PENDINGREV,257.8277777782833
DC000175,PENDING,257.78333333
SM000561,AWAITVEN,257.58888888999996
NW000433,AWAITCHG,257.04375000083746
NW000490,INPROG,256.6967836256825
NDS00028,QUEUED,256.30208333325004
NW000473,AWAITVEN,256.223333334244
ITS00374,INPROG,255.99583333225002
EDC00056,AWAITVEN,254.4708333325
DC000128,PENDINGCUS,254.36833333637006
DC000224,AWAITCUS,254.34000000066004
NW000495,INPROG,252.67142857572858
NW000417,PENDINGCHG,251.6766666598
DC000135,SLAHOLD,251.0789473689158
SM000515,AWAITVEN,251.05
ITS00374,SLAHOLD,250.1666666665
NW000453,AWAITCHG,249.60000000004285
DC000148,QUEUED,249.42173913276957
ITS00107,QUEUED,249.27777778389998
DC000104,INPROG,249.20750000150503
NW000490,SLAHOLD,248.09777777513335
ITS00379,QUEUED,247.7466666667466
DC000250,AWAITCUS,247.67777777773333
ITS00309,PENDINGREV,247.334722225275
DC000113,PENDINGREV,247.27638888889166
NW000429,PENDINGCHG,246.441666665
ESI00043,PENDINGREV,246.1
ESI00014,QUEUED,245.57222221733335
DC000117,AWAITVEN,245.21127098265765
NDS00001,QUEUED,245.16666667
DC000104,PENDING,244.46666666666667
ESI00054,AWAITCUS,243.71111111000002
ITS00344,AWAITVEN,243.51333333259998
DC000225,QUEUED,242.70277777777775
DC000111,AWAITVEN,241.8675070040017
ESI00043,AWAITCUS,240.65666666654005
NW000472,SLAHOLD,239.82247474787727
ENT00040,PENDINGREV,239.68333333
DC000152,AWAITVEN,239.3785714264715
ENT00009,PENDINGREV,238.99999999978004
EDC00090,QUEUED,238.7083333335
ESI00026,PENDINGREV,237.153030303
ITS00390,QUEUED,237.08603603514058
NW000462,AWAITCHG,237.0
ITS00340,AWAITVEN,235.88039215545294
NW000444,QUEUED,235.67980225953886
ESI00045,QUEUED,234.93586497932534
NW000450,AWAITCHG,234.89666666763
NW000451,PENDINGREV,234.39444444333333
DC000132,PENDINGVEN,233.71085858509093
ENT00035,QUEUED,233.04166666499998
NW000447,PENDING,232.50000000157502
ITS00326,PENDINGREV,232.40000000375002
NW000408,PENDING,231.99166666649998
DC000190,QUEUED,231.96069182149054
NW000480,INPROG,231.85666666668004
NW000400,AWAITCHG,231.804166670375
EDC00001,AWAITCHG,231.78750000075
NSD00010,PENDINGCHG,231.63333333
ITS00343,AWAITVEN,231.14728682182553
ITS00359,AWAITVEN,230.86666666669166
DC000152,PENDINGCUS,230.18333332925556
DC000109,AWAITVEN,228.40624999972502
NW000404,AWAITVEN,227.947857143067
EDC00004,PENDINGVEN,227.2
DC000117,AWAITCHG,227.00653153177961
EDC00060,PENDINGCUS,226.55
DC000180,AWAITVEN,226.475
NW000490,AWAITCUS,226.29594594482975
ENT00009,QUEUED,225.4011006286028
NW000439,SLAHOLD,225.25493827274815
NS000108,AWAITCHG,224.683333333325
NW000426,SLAHOLD,224.56111111233335
EDC00030,AWAITCUS,224.40476190528574
EDC00025,PENDING,223.58958333748748
EDC00004,PENDING,223.03333333
NW000417,PENDINGREV,222.8064814821759
DC000132,AWAITCHG,222.7414215684221
NW000418,INPROG,222.55
EDC00065,QUEUED,222.31623931444878
NW000444,INPROG,221.1545045025784
ITS00326,AWAITVEN,220.95238095289997
SM000580,AWAITCUS,220.61666666500003
DC000104,PENDINGREV,220.50833332999997
DC000195,AWAITCUS,219.84285714195715
ITS00327,AWAITCHG,219.74111110840005
NW000445,QUEUED,219.4957983193069
DC000122,AWAITCHG,219.225000001
DC000122,AWAITVEN,218.95701754445523
ESI00019,PENDINGREV,218.9
NDS00033,SLAHOLD,217.74166666783336
NW000440,AWAITVEN,217.64767267247313
ITS00331,AWAITCUS,217.44629629674446
NW000404,SLAHOLD,217.32489711947406
EDC00098,PENDING,217.28888889164162
ITS00353,QUEUED,216.89395218024515
ITS00306,PENDINGCUS,216.44907407366668
NW000509,AWAITCUS,216.19105691081216
ITS00335,SLAHOLD,216.083333332425
DC000178,AWAITVEN,215.4261904768786
DC000183,SLAHOLD,215.14333333472
NW000417,AWAITCHG,215.01185185147108
NW000406,AWAITCUS,214.47666666666
DC000125,QUEUED,214.31173708914787
NW000480,QUEUED,213.67543859803155
ITS00355,AWAITCUS,212.2249999985
NW000439,QUEUED,211.72237936782082
NS000101,AWAITCUS,211.62142856909284
ITS00326,AWAITCHG,211.54999999514285
NW000460,INPROG,210.82366255144194
NW000453,SLAHOLD,210.7242937842796
DC000105,QUEUED,210.1041666620875
NW000407,AWAITVEN,209.83593749980307
NW000414,AWAITCHG,209.53508771935265
DC000229,AWAITVEN,209.28888889228892
ITS00322,AWAITCHG,208.91527777771668
NW000471,AWAITCHG,208.68703703377778
DC000115,AWAITVEN,208.6632850247188
NW000402,QUEUED,208.5043103446638
DC000153,QUEUED,208.1404761866714
DC000115,PENDINGVEN,207.97833333012994
DC000199,INPROG,207.93181818516362
EDC00024,SLAHOLD,207.80555555834167
NW000452,AWAITCUS,207.74761904771066
ESI00012,PENDINGREV,207.50555555721667
ESI00010,QUEUED,207.44166666669284
SM000542,PENDING,206.975
ITS00376,SLAHOLD,206.79358974046153
DC000252,AWAITCHG,206.08333333443338
COR00553,SLAHOLD,205.2383720946697
ITS00359,INPROG,205.15714285563575
ITS00306,SLAHOLD,204.9096491222237
NDS00033,QUEUED,204.33581780484775
DC000125,PENDING,204.291666665
ITS00306,AWAITVEN,204.20333333425432
EU000202,INPROG,203.83120567218506
DC000179,AWAITCUS,203.65238095573807
EDC00006,PENDINGVEN,203.56666667
ITS00322,PENDINGREV,203.35
EDC00054,AWAITVEN,202.89504504512973
EDC00066,QUEUED,202.71468531512727
ESI00012,PENDINGCUS,202.66388888945002
NW000462,QUEUED,202.54492753668262
PM000614,SLAHOLD,202.42083333363334
NW000440,PENDING,202.27222222233334
SM000512,AWAITCUS,202.12564102591153
NW000438,PENDINGVEN,201.71666667
ITS00329,INPROG,200.91891891991628
DC000115,PENDINGREV,200.42424242426367
COR00552,AWAITCHG,200.08333333324998
NW000400,PENDINGREV,199.49444444333335
CG4TECH,SLAHOLD,199.291666665
DC000147,SLAHOLD,199.17333333274001
EU000203,PENDINGREV,199.11249999999998
ITS00341,QUEUED,198.26662906547134
NW000445,SLAHOLD,197.9984848480932
ITS00341,INPROG,197.99654088043803
NDS00033,AWAITVEN,197.71999999932
DC000183,AWAITCUS,197.28333333
EDC00006,AWAITVEN,196.74899328825293
NW000440,SLAHOLD,196.63623188311513
DC000117,PENDING,195.68333333338575
EDC00004,PENDINGREV,195.4166666685
DC000110,AWAITVEN,194.2113168732049
DC000131,AWAITVEN,194.191666665
ITS00353,AWAITCUS,193.87285714227718
DC000116,QUEUED,193.6481481484778
NW000409,PENDINGREV,193.24333333229998
ITS00327,AWAITVEN,193.12037036900836
EDC00005,QUEUED,193.07129629607778
NW000404,PENDINGCHG,193.03333333
NW000411,AWAITCUS,192.675000000925
DC000183,AWAITVEN,192.347222223025
NS000115,INPROG,192.1862318829261
NW000429,AWAITVEN,191.5186274551
DC000114,QUEUED,191.10256410273075
ITS00352,AWAITCHG,190.983333333325
NS000102,INPROG,190.90333333200002
DC000197,QUEUED,190.86666667
DC000215,QUEUED,190.0
DC000118,QUEUED,189.69589743587696
DC000204,AWAITCUS,189.65
NW000445,AWAITVEN,189.50833333165
ENT00015,INPROG,188.41666666566667
ITS00359,SLAHOLD,188.20784313741174
NW000471,AWAITVEN,187.66491227980526
ESI00019,PENDINGCUS,187.61666667
EDC00063,INPROG,187.53333333
EU000202,SLAHOLD,187.31944444433336
NDS00031,INPROG,187.3
NW000445,PENDINGREV,187.27307692261536
DC000236,AWAITCHG,185.7944444466667
COR00554,AWAITVEN,185.6
NW000453,PENDINGCUS,185.32499999835
NW000410,AWAITVEN,185.150806451079
NW000447,AWAITVEN,184.60617283939257
DC000200,AWAITVEN,184.5722222234333
ITS00308,AWAITCHG,184.28333333
DC000111,PENDINGREV,183.96444444371338
NW000471,AWAITCUS,183.89288888799732
NW000432,QUEUED,183.84572649613847
ITS00313,AWAITCHG,183.350000001
NW000453,AWAITVEN,183.1581196580461
NW000420,AWAITVEN,183.14285714428573
COR00552,SLAHOLD,183.03916666716754
DC000249,INPROG,182.9736111111083
NW000436,PENDINGREV,182.97333333199998
DC000150,AWAITVEN,182.81666666676665
SM000541,QUEUED,182.73333333
ENT00042,PENDINGCUS,182.2866666664933
NW000484,QUEUED,181.9995614033474
EDC00076,QUEUED,181.804166666675
ITS00341,AWAITCUS,181.6766398929924
DC000120,INPROG,181.48601190401334
EU000203,SLAHOLD,181.12058823527644
ITS00358,AWAITCHG,179.83452381145716
NW000414,PENDING,179.74551281884618
NW000450,AWAITVEN,179.67777777853888
NW000457,INPROG,179.55438596454212
ITS00371,QUEUED,179.5527777834
NW000413,AWAITCHG,179.03666666734
DC000272,AWAITCHG,178.66666667
SM000557,INPROG,178.47811245010953
DC000152,PENDINGREV,178.33333333000002
ESI00043,INPROG,178.23888888963333
ENT00015,QUEUED,177.70055555678
COR00554,QUEUED,177.6352941192294
COR00557,QUEUED,177.53351190530182
NW000490,AWAITVEN,177.02499999999998
COR00559,AWAITCUS,176.62982455963154
NW000439,AWAITVEN,176.57083333398216
ENT00039,INPROG,176.2397435869769
COR00550,QUEUED,176.00999999755334
NW000402,INPROG,175.59814814893332
NS000115,QUEUED,174.83864306778048
COR00557,AWAITCHG,174.5666666675
SM000515,INPROG,174.26960784333528
NW000413,AWAITCUS,173.80499999918555
ESI00012,INPROG,173.41944444472497
DC000110,PENDINGCUS,173.3433333326
DC000121,QUEUED,172.62612612495678
NW000471,SLAHOLD,171.8275956277
DC000120,AWAITCUS,171.72884615365385
NW000400,AWAITCUS,171.69980842985632
ITS00359,QUEUED,171.6881436312452
SM000585,AWAITCHG,171.36388888944998
NW000450,SLAHOLD,171.1803030306182
NW000474,QUEUED,171.16720430172097
DC000107,AWAITVEN,171.018333334
SM000514,SLAHOLD,170.6625000004625
NW000452,PENDING,170.4361111116167
AP000009,QUEUED,170.41666667
DC000113,SLAHOLD,169.95759803879997
