PARENT_SERVICE,PRIORITY,STATUS,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS
Directory Services,Medium,QUEUED,,
Email,Low,AWAITCUS,,
Email,Low,AWAITVEN,,
Email,Low,INPROG,,
Email,Low,QUEUED,,
Email,Medium,AWAITCUS,,
Email,Medium,INPROG,,
Email,Medium,QUEUED,,
Firewall,Low,AWAITCUS,,
Firewall,Low,AWAITVEN,,
Firewall,Low,INPROG,,
Firewall,Low,QUEUED,,
Firewall,Low,SLAHOLD,,
Firewall,Medium,AWAITCUS,,
Firewall,Medium,INPROG,,
Firewall,Medium,QUEUED,,
Firewall,Medium,SLAHOLD,,
Fixed Line,Low,AWAITCUS,,
Fixed Line,Low,INPROG,,
Fixed Line,Low,QUEUED,,
Fixed Line,Low,SLAHOLD,,
Fixed Line,Medium,AWAITCUS,,
Fixed Line,Medium,INPROG,,
Fixed Line,Medium,QUEUED,,
Fixed Line,Medium,SLAHOLD,,
GC WAN,High,AWAITCUS,,
GC WAN,High,QUEUED,,
GC WAN,High,SLAHOLD,,
GC WAN,Low,AWAITCHG,,
GC WAN,Low,AWAITCUS,,
GC WAN,Low,AWAITVEN,,
GC WAN,Low,INPROG,,
GC WAN,Low,SLAHOLD,,
GC WAN,Medium,AWAITCHG,,
GC WAN,Medium,AWAITCUS,,
Government of Canada Managed Security Service,Low,AWAITCUS,,
High-performance Computing,Low,AWAITCUS,,
High-performance Computing,Low,QUEUED,,
High-performance Computing,Low,SLAHOLD,,
High-performance Computing,Medium,AWAITCHG,,
High-performance Computing,Medium,AWAITCUS,,
High-performance Computing,Medium,QUEUED,,
High-performance Computing,Medium,SLAHOLD,,
Internal Credential Management (ICM),Low,QUEUED,,
Internal Credential Management (ICM),Medium,QUEUED,,
Intra-building Network Services,High,INPROG,,
Intra-building Network Services,High,QUEUED,,
Intra-building Network Services,Low,AWAITCHG,,
Intra-building Network Services,Low,AWAITCUS,,
Intra-building Network Services,Low,AWAITVEN,,
Intra-building Network Services,Low,QUEUED,,
Intra-building Network Services,Low,SLAHOLD,,
Intra-building Network Services,Medium,AWAITCUS,,
Intra-building Network Services,Medium,AWAITVEN,,
Intra-building Network Services,Medium,INPROG,,
Intra-building Network Services,Medium,QUEUED,,
Mainframe,Low,SLAHOLD,,
Mainframe,Medium,QUEUED,,
Mainframe,Medium,SLAHOLD,,
Middleware,Low,QUEUED,,
Middleware,Medium,INPROG,,
Middleware,Medium,QUEUED,,
Middleware,Medium,SLAHOLD,,
Midrange,High,QUEUED,,
Midrange,Low,AWAITCUS,,
Midrange,Low,INPROG,,
Midrange,Low,QUEUED,,
Midrange,Low,SLAHOLD,,
Midrange,Medium,AWAITCUS,,
Midrange,Medium,INPROG,,
Midrange,Medium,QUEUED,,
Midrange,Medium,SLAHOLD,,
Mobile Devices,Low,AWAITCUS,,
Mobile Devices,Low,AWAITVEN,,
Mobile Devices,Medium,SLAHOLD,,
Other Activities,High,AWAITCUS,,
Other Activities,High,QUEUED,,
Other Activities,High,SLAHOLD,,
Other Activities,Low,AWAITCHG,,
Other Activities,Low,AWAITCUS,,
Other Activities,Low,AWAITVEN,,
Other Activities,Low,INPROG,,
Other Activities,Low,QUEUED,,
Other Activities,Low,SLAHOLD,,
Other Activities,Medium,AWAITCHG,,
Other Activities,Medium,AWAITCUS,,
Other Activities,Medium,AWAITVEN,,
Other Activities,Medium,INPROG,,
Other Activities,Medium,QUEUED,,
Other Activities,Medium,SLAHOLD,,
Satellite,Low,AWAITCUS,,
Satellite,Medium,QUEUED,,
Secure Remote Access,Low,AWAITCUS,,
Secure Remote Access,Low,INPROG,,
Secure Remote Access,Low,QUEUED,,
Secure Remote Access,Low,SLAHOLD,,
Secure Remote Access,Medium,AWAITVEN,,
Secure Remote Access,Medium,INPROG,,
Secure Remote Access,Medium,QUEUED,,
Secure Remote Access,Medium,SLAHOLD,,
Storage,Low,AWAITCHG,,
Storage,Low,AWAITCUS,,
Storage,Low,INPROG,,
Storage,Low,QUEUED,,
Storage,Medium,AWAITCUS,,
Storage,Medium,AWAITVEN,,
Storage,Medium,INPROG,,
Storage,Medium,QUEUED,,
Storage,Medium,SLAHOLD,,
Toll-free Voice,Medium,AWAITCUS,,
Toll-free Voice,Medium,QUEUED,,
