service,PRIORITY,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS
IBN - GC Wi-Fi,High,311.58153846153846,311.58153846153846
Mobile - Enterprise Mobile Device Management (EMDM),Low,309.6993116634798,87.94584130019129
Directory Services,Medium,306.1547081712065,86.79212710765236
Midrange - Storage and Virtualization,Low,297.1498000000001,84.40829999999997
Facilities - Data Centre Facilities Racking & Stacking,High,295.89,295.89
Fixed Line,Medium,295.193904448105,82.91039538714988
Other - Data Centre,Low,288.4621102982552,81.33160101294297
Other - Data Centre,Medium,287.65129487179485,81.92706410256415
Midrange - Storage and Virtualization,Medium,287.58,81.37782608695652
Government of Canada Managed Security Service,Medium,284.4643548387097,80.83838709677421
Other - Service Management,Medium,279.24691714836047,79.1466136801543
Classified Infrastructure - GCSI - Hosting Environment,Low,274.86166666666657,80.67555555555556
Fixed Line,Low,270.85122539864994,76.45726619738522
Other - Telecom & Network,Low,268.74475,76.64612499999997
IBN - Data Centre Network,Low,265.9359433962264,73.8510120068611
Midrange - Windows -X86,Medium,263.89806554586016,74.97326665247924
Email,Medium,250.8201676963812,71.59894969108564
Database,Medium,237.90200913242,66.83520547945204
GC WAN,Low,236.88816961185367,65.92392700054016
Internal Credential Management (ICM),Medium,232.21372727272737,65.84236363636364
To be determined,Low,231.72,76.9
Managed Secure File Transfer,Low,226.30596491228067,62.14070175438597
Midrange,Medium,223.0009445224716,62.97946278089894
Email,Low,220.75474168435903,62.07197924038707
Secure Remote Access,Medium,213.46679876479652,60.55765826042208
Facilities - Data Centre Facilities Power & Space,Low,212.62143518518513,60.18231481481478
HPC -Big Data Exchange,Low,211.43005570560447,80.68896522619856
Other - Security,High,207.60409090909087,207.60409090909087
Fixed - Key Systems and Interchange,Low,202.146,55.84480000000001
Facilities - Data Centre Facilities Racking & Stacking,Medium,197.63534351145023,56.11005089058519
Directory Services,Low,195.7383014492753,55.47718550724632
Conferencing - Videoconferencing,High,194.52142857142857,194.52142857142857
Mobile Devices,High,192.68333333333337,192.68333333333337
Other - Account & Service Delivery Management,High,192.0,192.0
-1,Low,191.4036909090908,54.644381818181856
Storage - File,Low,183.58655259822524,51.48192015209131
Secure Remote Access,High,180.56074074074075,180.56074074074075
Managed Secure File Transfer,Medium,179.07466666666662,52.71399999999999
Contact Centre,High,173.8377511961723,173.8377511961723
IBN - Data Centre Network,High,171.86333333333332,171.86333333333332
GC WAN National,Low,169.3972384937237,47.71334728033476
Facilities - Data Centre Facilities Racking & Stacking,Low,168.50246056782336,47.313280757097765
Internal Credential Management (ICM),Low,168.04524008350728,47.81931106471821
Firewall,High,167.30485148514848,167.30485148514848
Database,Low,164.17669865642995,46.62769673704416
IBN - GC Wi-Fi,Low,162.78905149763466,44.372404098791435
Midrange,Low,161.603763375732,45.00185645063618
Internal Credential Management (ICM),High,158.62571428571428,158.62571428571428
GC WAN,Medium,155.93249752964334,43.103382740448055
Facilities - Data Centre Facilities Power & Space,Medium,153.71672131147554,43.77519125683059
Other - Internal Services & Strategy,High,151.60238095238097,151.60238095238097
Mobile - Voice & Data,Medium,151.41312500000004,42.10651041666666
Cloud Brokering,Low,146.62392156862745,40.84990196078431
Fixed - Centrex,Low,146.42666666666665,38.559999999999995
HPC -Big Data Exchange,Medium,146.3449778761062,42.444192477876115
Other - Data Centre,High,142.54756097560974,142.54756097560974
Distributed Print,Low,141.8455617977528,39.95432584269665
High-performance Computing,High,134.81702127659577,134.81702127659577
Mobile - Enterprise Mobile Device Management (EMDM),High,133.85493670886075,133.85493670886075
IBN - GC LAN,High,130.7512809917355,130.7512809917355
Distributed Print,Medium,127.30275862068966,37.243103448275875
Storage - File,Medium,126.10355975924337,35.442046431642275
Fixed - VoIP,High,125.8034375,125.8034375
Fixed Line,High,123.9042857142857,123.9042857142857
Fixed - PBX,High,121.48125,121.48125
Mainframe,Low,116.02491994177598,32.0862348374576
-1,Medium,115.33265486725658,32.986991150442485
GC WAN National,Medium,114.6527586206897,31.100665024630526
Workplace Technology Services,Low,114.40002247191016,29.505483146067387
Workplace Technology Services,Medium,102.63709677419354,28.57387096774193
Midrange - Windows -X86,Low,101.89266213063713,27.501791213063886
HPC - Interaction & Visualization,Medium,88.44210396039603,25.160148514851468
WTD - Hardware,Low,84.58999999999999,27.363333333333333
Mobile - Voice & Data,Low,83.44683825816485,23.12223794712286
Internet,Low,79.744,21.163999999999998
HPC - Interaction & Visualization,Low,77.92762404580154,22.373020038167915
Midrange - Windows -X86,High,76.89920948616604,76.89920948616604
Mobile - Mobile Device - Government Cellular Services,High,74.811,74.811
Midrange,High,73.7270945945946,73.7270945945946
Midrange - Storage and Virtualization,High,73.33800000000001,73.33800000000001
Email,High,73.21136363636367,73.21136363636367
Middleware,Low,63.31800788247945,16.25772602412507
Storage,High,62.59451612903225,62.59451612903225
Middleware,Medium,62.41765787647491,16.514835183900082
Directory Services,High,59.64698113207548,59.64698113207548
Mainframe,Medium,58.385878266622555,15.751898776050254
Data Centre Facilities Management,High,51.6484518828452,51.6484518828452
-1,High,50.54074074074074,50.54074074074074
Other - Telecom & Network,Medium,43.15056470588237,11.170941176470594
Intra-building Network Services,High,41.307547169811315,41.307547169811315
GC WAN,High,38.34422924901187,38.34422924901187
Storage - File,High,32.81137931034483,32.81137931034483
Service Management - Enterprise Control Center (ECC),Low,30.55,16.55
GC WAN National,High,29.862000000000002,29.862000000000002
Mobile - Voice & Data,High,23.773636363636363,23.773636363636363
Mainframe - zOS & zLinux,High,23.23,23.23
Fixed - Key Systems and Interchange,Medium,22.810000000000002,8.805
Facilities - Data Centre Facilities Power & Space,High,22.448888888888888,22.448888888888888
HPC -Big Data Exchange,High,13.766874999999999,13.766874999999999
Classified Infrastructure - GCSI - Hosting Environment,High,12.280000000000001,12.280000000000001
Middleware,High,10.957915518824601,10.957915518824601
HPC - Interaction & Visualization,High,10.225,10.225
GC WAN International,High,8.620000000000001,8.620000000000001
Toll-free Voice,High,8.472857142857142,8.472857142857142
Database,High,6.059523809523809,6.059523809523809
Mainframe,High,3.9183333333333334,3.9183333333333334
Internet,Medium,3.4850000000000003,3.49
Faciltiies-as-a-service (FaaS),Medium,3.46,3.47
Bulk Print,Medium,1.395,1.4000000000000001
Distributed Print,High,0.41000000000000003,0.41000000000000003
High-performance Computing,Medium,-45.353521739130684,88.691747826087
Other - Account & Service Delivery Management,Medium,,
