PARENT_SERVICE,STATUS,TIME_IN_STATUS_BY_OWNER_HRS
Fixed Line,INPROG,36.12149504779994
GC WAN,INPROG,34.9757508417602
Secure Remote Access,PENDING,34.009374999974995
Midrange,QUEUED,33.754782954200536
Conferencing Services,QUEUED,33.16818258808245
GC WAN,PENDING,31.640819672294125
Mobile Devices,QUEUED,31.182322170244678
Internal Credential Management (ICM),INPROG,30.576929012509726
Government of Canada Managed Security Service,AWAITCHG,28.530952381
Workplace Technology Services,INPROG,27.663888888621425
Middleware,QUEUED,25.99810012924248
High-performance Computing,PENDING,24.707264957291564
Midrange,INPROG,24.67231326786367
Distributed Print,PENDINGCUS,24.317901234448144
Directory Services,PENDING,23.570833333375
Directory Services,AWAITCHG,22.987385740377874
High-performance Computing,INPROG,21.436346188846063
Mobile Devices,PENDINGVEN,21.216666666665
Middleware,PENDINGVEN,20.844444444333334
Mobile Devices,PENDING,20.698958333543754
Mobile Devices,INPROG,20.12422553595222
Middleware,PENDING,19.571825396834512
High-performance Computing,QUEUED,18.354475195392705
Mainframe,INPROG,17.75007912535945
WTD Provisioning,INPROG,17.123333333479998
Managed Secure File Transfer,QUEUED,16.666402116388085
Middleware,INPROG,16.174633841162283
Mobile Devices,NEW,15.59999999985
Database,PENDINGCUS,15.061111110999997
WTD Provisioning,AWAITCUS,14.738888888766667
Workplace Technology Services,QUEUED,12.643598862035414
Cloud Brokering,INPROG,11.547267759565573
Directory Services,HISTEDIT,10.43000000006
Other Activities,NEW,8.927777777666668
Managed Secure File Transfer,INPROG,8.848095238089995
Contact Centre,PENDINGREV,8.825
Classified Infrastructure,INPROG,8.462745098041177
Fixed Line,PENDINGCHG,7.991666666825
GC WAN,HISTEDIT,4.818965517124138
Internal Credential Management (ICM),HISTEDIT,4.73333333335
Managed Secure File Transfer,SLAHOLD,4.196078431379411
Secure Remote Access,PENDINGCHG,4.137499999975
Classified Infrastructure,AWAITCUS,3.15
Mainframe,PENDING,2.785714285657143
Database,PENDINGVEN,2.75
Midrange,HISTEDIT,2.0469696969363635
Email,HISTEDIT,1.9722222222333334
Database,RESOLVED,1.4413702239789197
Toll-free Voice,RESOLVED,1.4198140200429186
High-performance Computing,HISTEDIT,1.0444444444333334
Distributed Print,PENDINGREV,0.9666666667
Mainframe,RESOLVED,0.8743795010223765
Database,PENDINGREV,0.7333333333
Solutions Integration Service (SIS),SLAHOLD,0.725
Satellite,PENDINGREV,0.6833333333
Secure Remote Access,HISTEDIT,0.6404761904857142
Secure Remote Access,RESOLVED,0.6161059750127632
Internal Credential Management (ICM),AWAITVEN,0.54166666665
Distributed Print,HISTEDIT,0.5166666667
Other Activities,RESOLVED,0.4355916073257088
Classified Infrastructure,AWAITCHG,0.23333333335
Data Centre Facilities Management,RESOLVED,0.18401633089065936
High-performance Computing,RESOLVED,0.18040781331570138
GC WAN,RESOLVED,0.14249853181735578
Contact Centre,HISTEDIT,0.08333333333333333
Satellite,PENDING,0.0833333333
Middleware,RESOLVED,0.06392892076994455
Contact Centre,RESOLVED,0.06277169334456613
Email,RESOLVED,0.05431168520462864
Fixed Line,HISTEDIT,0.04
Intra-building Network Services,RESOLVED,0.03785133166347296
Cloud Brokering,PENDING,0.0333333333
Mobile Devices,RESOLVED,0.030978345294715253
Directory Services,RESOLVED,0.029408859509163436
Internal Credential Management (ICM),RESOLVED,0.019149543378424658
Conferencing Services,PENDINGCHG,0.0166666667
Midrange,RESOLVED,0.006566920772106047
Fixed Line,RESOLVED,0.0009449915448423363
Storage,RESOLVED,0.0009449710844750492
Midrange,NEW,0.0
Bulk Print,RESOLVED,0.0
Managed Secure File Transfer,RESOLVED,0.0
Managed Secure File Transfer,AWAITCUS,0.0
WTD Provisioning,RESOLVED,0.0
Workplace Technology Services,RESOLVED,0.0
Firewall,RESOLVED,0.0
Firewall,HISTEDIT,0.0
Middleware,HISTEDIT,0.0
Cloud Brokering,RESOLVED,0.0
GC WAN,NEW,0.0
Classified Infrastructure,RESOLVED,0.0
Mainframe,HISTEDIT,0.0
Distributed Print,RESOLVED,0.0
Government of Canada Managed Security Service,RESOLVED,0.0
Conferencing Services,HISTEDIT,0.0
Satellite,RESOLVED,0.0
Mobile Devices,HISTEDIT,0.0
Conferencing Services,RESOLVED,0.0
Government of Canada Managed Security Service,HISTEDIT,0.0
IT Continuity Support Service,RESOLVED,0.0
Solutions Integration Service (SIS),RESOLVED,0.0
Intra-building Network Services,HISTEDIT,0.0
Bulk Print,CLOSED,
Classified Infrastructure,CLOSED,
Cloud Brokering,CLOSED,
Conferencing Services,CLOSED,
Contact Centre,CLOSED,
Data Centre Facilities Management,CLOSED,
Database,CLOSED,
Directory Services,CLOSED,
Distributed Print,CLOSED,
Email,CLOSED,
Firewall,CLOSED,
Fixed Line,CLOSED,
GC WAN,CLOSED,
Government of Canada Managed Security Service,CLOSED,
High-performance Computing,CLOSED,
IT Continuity Support Service,CLOSED,
Internal Credential Management (ICM),CLOSED,
Intra-building Network Services,CLOSED,
Mainframe,CLOSED,
Managed Secure File Transfer,CLOSED,
Middleware,CLOSED,
Midrange,CLOSED,
Mobile Devices,CLOSED,
Other Activities,CLOSED,
Satellite,CLOSED,
Secure Remote Access,CLOSED,
Solutions Integration Service (SIS),CLOSED,
Storage,CLOSED,
Toll-free Voice,CLOSED,
WTD Provisioning,CLOSED,
Workplace Technology Services,CLOSED,
