service,STATUS,TIME_IN_STATUS_BY_OWNER_HRS
IBN - Cabling - Install and Material,INPROG,84.99924812023606
Conferencing - Videoconferencing,AWAITCUS,84.98722750679501
Other - Security,INPROG,84.52077687458781
Classified Infrastructure - Government of Canada Secret Infrastructure (GCSI),QUEUED,83.149999999
GC WAN International,AWAITVEN,83.1
Government of Canada Managed Security Service,AWAITCUS,82.49422657955685
Midrange - Windows -X86,PENDING,82.43493975925908
Workplace Technology Services,AWAITCUS,82.11561181440759
Mobile - Enterprise Mobile Device Management (EMDM),AWAITCUS,81.61046581971162
Data Centre Services,AWAITCHG,81.266666667
Fixed - VoIP,PENDINGVEN,81.26249999925
Workplace Technology Services,AWAITCHG,80.79444444343333
Toll-free Voice,INPROG,80.78251634010095
High-performance Computing,SLAHOLD,80.69041318470212
Storage,QUEUED,80.17503742524457
Mobile - Enterprise Mobile Device Management (EMDM),SLAHOLD,79.38342696685896
Cloud Brokering,SLAHOLD,79.34166666686428
Firewall,QUEUED,79.08877360252387
Mobile Devices,PENDINGCUS,78.67888888891333
HPC -Big Data Exchange,PENDINGCHG,78.13095238100001
Firewall,INPROG,78.05325337090324
Data Centre Facilities Management,INPROG,77.58884598881099
HPC -Big Data Exchange,SLAHOLD,77.05995305151045
Distributed Print,AWAITCUS,76.87990196105586
Mainframe - zOS & zLinux,INPROG,76.14687500129793
Mobile - Mobile Device - Government Cellular Services,AWAITCHG,76.06944444465
IBN - GC Wi-Fi,PENDINGCHG,75.433333333
Midrange,AWAITCUS,75.29025775453553
IBN - GC LAN,PENDING,75.08002136733398
Other - Data Centre,AWAITCUS,73.91245624273124
Midrange,PENDING,73.73235294111765
IBN - Data Centre Network,PENDINGREV,73.65925925888888
Classified Infrastructure - GCSI - Hosting Environment,QUEUED,73.58958333345939
Fixed Line,PENDINGVEN,73.4056547616696
IBN - Data Centre Network,INPROG,73.02168209883361
HPC - Interaction & Visualization,AWAITCHG,72.8594017087064
GC WAN,AWAITVEN,72.51223286664752
Facilities - Data Centre Facilities Power & Space,SLAHOLD,72.13541666683751
Secure Remote Access,QUEUED,71.92568659933795
GC WAN National,INPROG,71.84049479138125
Government of Canada Managed Security Service,INPROG,71.81050552928288
Other - Service Management,PENDINGVEN,71.69293785340506
Facilities - Data Centre Facilities Racking & Stacking,AWAITCHG,71.5266666666
Midrange - Storage and Virtualization,PENDINGCUS,70.79861111135834
Fixed - Key Systems and Interchange,QUEUED,70.43233830838956
Storage,PENDINGCUS,70.04333333394
IBN - Data Centre Network,QUEUED,69.7344559585306
Mainframe,AWAITVEN,69.54999999981818
Midrange - Storage and Virtualization,QUEUED,69.5224910394704
Facilities - Data Centre Facilities Racking & Stacking,AWAITCUS,68.88677462881375
Email,PENDINGCHG,68.6148148144778
Midrange - Windows -X86,AWAITCUS,67.58145522373682
HPC -Big Data Exchange,PENDINGCUS,67.55833333299445
Workplace Technology Services,SLAHOLD,67.16025640976923
Mobile - Mobile Device - Government Cellular Services,QUEUED,67.14886991252376
Workplace Technology Services,AWAITVEN,67.0666666663
Storage - File,SLAHOLD,65.68802083327122
Other - Telecom & Network,QUEUED,65.44396551765612
Mainframe,AWAITCHG,65.34861111100832
Mobile Devices,SLAHOLD,63.375
Data Centre Facilities Management,HISTEDIT,62.583333335
IBN - Cabling - Install and Material,QUEUED,62.481593977115445
Facilities - Data Centre Facilities Power & Space,AWAITCUS,62.419534050391405
Other - Telecom & Network,INPROG,62.376515152165915
Mobile Devices,PENDING,62.116666667425
GC WAN International,SLAHOLD,62.03181818179091
GC WAN International,INPROG,61.877916666730016
GC WAN National,AWAITVEN,60.68695652159131
Distributed Print,QUEUED,60.55379403814876
GC WAN National,QUEUED,60.3948193215245
HPC - Interaction & Visualization,AWAITVEN,59.64722222242916
Other - Data Centre,PENDING,58.78333333342593
Conferencing - Videoconferencing,INPROG,58.66444773182558
Email,QUEUED,57.95698614567878
Cloud Brokering,AWAITCUS,57.34444444566666
Fixed - Key Systems and Interchange,AWAITCUS,57.32000000074
Internal Credential Management (ICM),AWAITCHG,57.176666666950005
GC WAN,PENDINGVEN,56.322535211354975
Internal Credential Management (ICM),PENDINGVEN,56.05
Storage,INPROG,56.03611971083877
Toll-free Voice,AWAITVEN,55.8642857142026
Mobile - Voice & Data,PENDINGCUS,55.73333333316537
Secure Remote Access,INPROG,55.525089881724575
Mainframe,SLAHOLD,55.48035714275357
Cloud Brokering,AWAITCHG,55.283333333
Storage - File,AWAITCUS,54.79374741213951
Fixed Line,PENDINGCUS,54.61524064173262
Mobile - Mobile Device - Government Cellular Services,AWAITCUS,54.39875156064332
Database,AWAITCHG,54.35357142883571
Middleware,SLAHOLD,53.37365163581379
Middleware,AWAITCHG,53.14325842701514
To be determined,AWAITCHG,52.95
Government of Canada Managed Security Service,PENDINGCUS,52.65263157878948
Database,QUEUED,52.61884523803666
GC WAN National,SLAHOLD,52.41449275364347
Facilities - Data Centre Facilities Racking & Stacking,AWAITVEN,52.39686274505531
Database,AWAITCUS,52.26302083337604
HPC - Interaction & Visualization,AWAITCUS,51.842592592660345
Fixed Line,QUEUED,51.797121972920245
Secure Remote Access,PENDINGCUS,51.712091503266656
IBN - GC Wi-Fi,PENDING,51.589333333224005
Email,PENDING,51.32142857142001
Fixed Line,AWAITVEN,51.19488668711055
Directory Services,INPROG,50.84797089285249
Other - Internal Services & Strategy,INPROG,50.43668796572378
IBN - GC LAN,PENDINGCHG,49.797222221883324
Toll-free Voice,QUEUED,49.754444444417345
Directory Services,AWAITCUS,49.504299362965774
Government of Canada Managed Security Service,QUEUED,49.418310397637384
IBN - GC Wi-Fi,PENDINGREV,49.4166666665
Internal Credential Management (ICM),PENDING,49.349999999999994
Fixed Line,SLAHOLD,49.33806497177709
Directory Services,SLAHOLD,49.08662494199213
Facilities - Data Centre Facilities Power & Space,QUEUED,48.37644675917219
Government of Canada Managed Security Service,PENDINGVEN,48.34481481478891
Mobile - Mobile Device - Government Cellular Services,PENDINGCUS,48.10250000003249
IBN - Cabling - Install and Material,PENDINGCUS,47.20595238075714
Other - Service Management,HISTEDIT,46.75535714232323
Midrange,INPROG,46.36370474850119
Government of Canada Managed Security Service,AWAITVEN,46.06079664543776
Email,INPROG,46.05047419793966
Mobile - Voice & Data,SLAHOLD,45.85358796281806
Internal Credential Management (ICM),SLAHOLD,45.79320987643333
Database,INPROG,45.65702306118556
Middleware,AWAITCUS,45.56447520190315
Directory Services,QUEUED,45.446635666357004
Government of Canada Managed Security Service,SLAHOLD,45.14634146339026
Midrange - Windows -X86,PENDINGCHG,44.903703703666665
Internal Credential Management (ICM),AWAITCUS,44.687445887415585
Mobile Devices,AWAITVEN,44.627777777716666
HPC - Interaction & Visualization,PENDINGVEN,43.15777777773333
GC WAN National,AWAITCHG,43.116666666650005
Other - Service Management,QUEUED,43.093699041068206
Mobile - Voice & Data,AWAITCHG,42.99803921504118
Directory Services,PENDINGCUS,42.919166666865
GC WAN,QUEUED,42.23338730075542
Mobile - Mobile Device - Government Cellular Services,SLAHOLD,41.858333333231265
Email,PENDINGCUS,41.8413978494871
Mobile - Enterprise Mobile Device Management (EMDM),INPROG,41.18394828126661
Internal Credential Management (ICM),PENDINGCUS,40.81666666666667
Fixed Line,AWAITCUS,40.57067471772432
HPC - Interaction & Visualization,SLAHOLD,40.0975163398557
IBN - GC Wi-Fi,INPROG,39.62928714861108
Internal Credential Management (ICM),QUEUED,39.17541169791808
Database,PENDING,38.683333333
Fixed Line,AWAITCHG,37.963821138223594
IBN - Data Centre Network,PENDINGVEN,37.7777777779
Contact Centre,QUEUED,37.775958016331806
Other - Service Management,INPROG,37.36542226555472
Directory Services,AWAITVEN,36.78620071683228
Database,SLAHOLD,36.65507246380218
Government of Canada Managed Security Service,PENDING,36.35606060635454
Midrange - Storage and Virtualization,INPROG,35.5300724638935
HPC -Big Data Exchange,PENDING,35.1496527778604
Midrange,QUEUED,35.06832381077088
IBN - Cabling - Install and Material,AWAITCHG,34.97222222168333
Storage - File,AWAITVEN,34.5166666663
GC WAN,INPROG,34.38031579669746
Storage - File,PENDING,34.18690476167142
Secure Remote Access,PENDING,34.009374999974995
Conferencing - Videoconferencing,QUEUED,33.16818258808245
Midrange - Windows -X86,QUEUED,33.011375726323244
Other - Data Centre,INPROG,32.62396937571805
Fixed - Centrex,AWAITVEN,32.37499999999999
Other - Internal Services & Strategy,PENDINGCHG,32.1083333335
Mobile - Enterprise Mobile Device Management (EMDM),QUEUED,31.84256029288523
GC WAN,PENDING,31.640819672294125
Facilities - Data Centre Facilities Racking & Stacking,QUEUED,31.088710253641157
Facilities - Data Centre Facilities Power & Space,PENDINGVEN,30.614102564130768
Internal Credential Management (ICM),INPROG,30.576929012509726
Facilities - Data Centre Facilities Racking & Stacking,INPROG,30.33435722407951
Other - Data Centre,QUEUED,30.24546599494309
Storage - File,INPROG,29.733213429343923
To be determined,QUEUED,29.124999999925
Facilities - Data Centre Facilities Racking & Stacking,PENDINGCUS,28.99285714281429
Government of Canada Managed Security Service,AWAITCHG,28.530952381
Mobile - Mobile Device - Government Cellular Services,AWAITVEN,28.200000000026055
High-performance Computing,INPROG,27.952752765640355
Workplace Technology Services,INPROG,27.663888888621425
Mobile - Voice & Data,AWAITCUS,27.59031270146555
Mobile - Voice & Data,NEW,26.783333333
Fixed - Calling Card,AWAITVEN,26.05
Other - Telecom & Network,SLAHOLD,26.0125
Middleware,QUEUED,25.99810012924248
IBN - Cabling,AWAITCUS,25.616666667
Mobile - Mobile Device - Government Cellular Services,INPROG,25.33843624922876
Mobile - Voice & Data,AWAITVEN,24.945163690506238
IBN - GC Wi-Fi,QUEUED,24.74557978749069
HPC - Interaction & Visualization,PENDINGCUS,24.406666667070002
Distributed Print,PENDINGCUS,24.317901234448144
Directory Services,PENDING,23.570833333375
Directory Services,AWAITCHG,22.987385740377874
Mainframe,QUEUED,21.687367878312287
Fixed Line,INPROG,21.644370894896195
High-performance Computing,PENDINGCHG,21.09999999973636
HPC - Interaction & Visualization,PENDINGREV,21.09861111110833
Middleware,PENDINGVEN,20.844444444333334
Storage - File,QUEUED,20.62515197026813
SIS - Advisory Services,QUEUED,20.3
Fixed - VoIP,PENDINGCUS,20.254166666624997
High-performance Computing,PENDING,20.19478371503513
High-performance Computing,QUEUED,20.09235444660549
Midrange - Storage and Virtualization,AWAITCUS,20.003333333260002
Middleware,PENDING,19.571825396834512
Fixed - Key Systems and Interchange,INPROG,19.19583333355625
HPC -Big Data Exchange,QUEUED,18.60659895987821
Midrange - Windows -X86,INPROG,18.205323093939334
Mobile - Enterprise Mobile Device Management (EMDM),PENDINGCUS,18.166666666661538
Fixed - Centrex,AWAITCUS,17.612500000075002
Mobile - Mobile Device - Government Cellular Services,PENDINGVEN,17.43209876530741
Intra-building Network Services,PENDINGCUS,17.369047619042856
WTD - Hardware,INPROG,17.123333333479998
Managed Secure File Transfer,QUEUED,16.666402116388085
Mobile - Voice & Data,QUEUED,16.65142355255873
Mainframe,INPROG,16.51471279567898
Facilities - Data Centre Facilities Power & Space,INPROG,16.420401106510788
Middleware,INPROG,16.174633841162283
HPC - Interaction & Visualization,PENDING,15.765217391226088
Database,PENDINGCUS,15.061111110999997
WTD - Hardware,AWAITCUS,14.738888888766667
Mobile Devices,PENDINGVEN,14.536111111108335
HPC -Big Data Exchange,INPROG,13.509781045217737
Fixed Line,PENDINGCHG,13.366666667
Mobile - Voice & Data,INPROG,12.705325714283894
Workplace Technology Services,QUEUED,12.643598862035414
HPC - Interaction & Visualization,PENDINGCHG,12.583333333
Cloud Brokering,INPROG,11.547267759565573
Directory Services,HISTEDIT,10.43000000006
HPC - Interaction & Visualization,INPROG,9.596373560619325
HPC - Interaction & Visualization,QUEUED,9.402245066760962
Fixed - Centrex,INPROG,9.111111111033333
IBN - Cabling - Install and Material,PENDING,9.07916666675
Classified Infrastructure - GCSI - Hosting Environment,INPROG,8.9875
Other - Service Management,NEW,8.927777777666668
Managed Secure File Transfer,INPROG,8.848095238089995
Contact Centre,PENDINGREV,8.825
Mobile - Mobile Device - Government Cellular Services,PENDING,8.169444444433333
Fixed - PBX,PENDINGCUS,7.30833333335
Intra-building Network Services,PENDINGREV,6.75833333335
Mobile - Enterprise Mobile Device Management (EMDM),PENDING,6.73666666674
Facilities - Data Centre Facilities Racking & Stacking,PENDINGVEN,6.5583333335
Fixed - VoIP,PENDINGCHG,6.2000000001
GC WAN,HISTEDIT,5.374358974226923
Internal Credential Management (ICM),HISTEDIT,4.73333333335
Classified Infrastructure - GCSI - Hosting Environment,AWAITCUS,4.725
Facilities - Data Centre Facilities Power & Space,AWAITCHG,4.663888888950001
Mobile - Mobile Device - Government Cellular Services,NEW,4.4166666667
Managed Secure File Transfer,SLAHOLD,4.196078431379411
Secure Remote Access,PENDINGCHG,4.137499999975
Facilities - Data Centre Facilities Power & Space,PENDINGREV,3.5166666666400004
Mainframe,PENDING,2.785714285657143
Database,PENDINGVEN,2.75
Fixed - Centrex,QUEUED,2.577777777766667
Midrange,PENDINGCHG,2.45
Midrange - Windows -X86,HISTEDIT,2.4074074073666667
Other - Internal Services & Strategy,RESOLVED,2.3187344913209262
HPC -Big Data Exchange,HISTEDIT,2.077777777766667
Other - Telecom & Network,AWAITCHG,2.0222222222166666
Email,HISTEDIT,1.9722222222333334
Other - Security,HISTEDIT,1.93666666666
Database,RESOLVED,1.4413702239789197
Toll-free Voice,RESOLVED,1.4198140200429186
Distributed Print,PENDINGREV,0.9666666667
Mainframe,RESOLVED,0.8936875657137223
Database,PENDINGREV,0.7333333333
Solutions Integration Service (SIS),SLAHOLD,0.725
Satellite,PENDINGREV,0.6833333333
Secure Remote Access,HISTEDIT,0.6404761904857142
Secure Remote Access,RESOLVED,0.6161059750127632
Internal Credential Management (ICM),AWAITVEN,0.54166666665
Distributed Print,HISTEDIT,0.5166666667
HPC -Big Data Exchange,RESOLVED,0.4791393303203968
Other - Service Management,RESOLVED,0.4508420543099344
Midrange,HISTEDIT,0.425
Data Centre Facilities Management,RESOLVED,0.23962819155195905
Other - Security,RESOLVED,0.23923295176595244
Classified Infrastructure - GCSI - Hosting Environment,AWAITCHG,0.23333333335
Data Centre Services,SLAHOLD,0.21666666667999998
GC WAN,RESOLVED,0.14641733749149174
Facilities - Data Centre Facilities Racking & Stacking,RESOLVED,0.14252077561869805
Intra-building Network Services,PENDING,0.125
Fixed Line,HISTEDIT,0.1
Contact Centre,HISTEDIT,0.08333333333333333
Satellite,PENDING,0.0833333333
Other - Data Centre,RESOLVED,0.07816027088119638
