ASSIGNED_GROUP,PRIORITY,STATUS,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS
NW000400,Medium,CLOSED,499.6175,140.1925
ESI00011,Low,CLOSED,496.65358108108137,142.25709459459458
EDC00053,Low,CLOSED,490.078,138.536
NW000452,Low,CLOSED,473.32,124.26666666666665
TIVMON,Medium,CLOSED,466.671,131.671
DC000179,Low,CLOSED,466.439375,131.878125
DC000133,Medium,RESOLVED,463.93,136.04333333333332
ESI00045,Medium,CLOSED,463.13000000000005,137.13333333333335
NDS00032,Low,CLOSED,457.80999999999995,129.774
DC000129,Low,RESOLVED,455.96,129.95
DC000150,Medium,CLOSED,447.95,127.49
DC000143,Low,CLOSED,445.62,134.17
EDC00001,Medium,CLOSED,432.41,134.75
ITS00304,Low,CLOSED,414.57,119.1
EDC00025,Medium,CLOSED,395.565,118.265
NW000417,Medium,RESOLVED,394.1,128.85
DC000133,High,CLOSED,391.41333333333336,391.41333333333336
NW000444,Low,CLOSED,379.76222222222225,115.33666666666669
DC000141,Low,CLOSED,379.52,115.51
ITS00326,Medium,CLOSED,372.19199999999995,106.955
NW000405,Medium,RESOLVED,369.95199999999994,110.89200000000001
NW000407,Low,CLOSED,368.11861842105276,102.84315789473686
DC000210,Low,CLOSED,342.65307692307704,98.97519230769231
DC000150,Low,CLOSED,322.75047619047615,88.5295238095238
DC000108,Medium,CLOSED,317.95,85.95
EDC00048,Low,CLOSED,316.01,84.02
ITS00376,Low,CLOSED,307.55625000000003,89.00333333333333
DC000205,Low,CLOSED,306.343446327684,87.45533898305075
ENT00039,Low,CLOSED,301.405,87.155
DC000183,Low,CLOSED,290.4757142857143,80.26285714285714
EDC00030,Medium,CLOSED,288.83758620689656,74.56344827586207
EDC00054,Low,CLOSED,288.82624999999996,79.84
ITS00348,Low,CLOSED,285.90999999999997,74.315
DC000109,Low,CLOSED,280.49,76.92
NW000449,Medium,CLOSED,273.7875,76.34607142857145
DC000198,Low,CLOSED,273.361841085271,74.18187984496129
SM000557,Low,CLOSED,266.2206153846154,73.92123076923076
NW000461,Low,CLOSED,265.6475,76.0775
DC000132,Medium,CLOSED,263.2346887966804,74.73846473029046
ITS00108,Low,CLOSED,258.6,74.83
ITS00326,Low,CLOSED,252.53095808383242,71.84281437125748
DC000110,Low,CLOSED,250.80499999999998,72.03666666666666
DC000205,Medium,CLOSED,246.50080402010062,67.86464824120604
DC000127,Low,RESOLVED,243.96,83.96
ITS00342,Low,CLOSED,242.74022988505757,67.57816091954028
DC000122,Low,RESOLVED,242.28,82.29
DC000246,Low,CLOSED,240.65166666666667,66.99
ITS00346,Medium,CLOSED,240.32650485436895,67.58014563106799
SM000502,Medium,CLOSED,236.60753424657528,68.43547945205482
EDC00029,Low,CLOSED,226.33857142857119,64.77513914656768
NW000401,Low,CLOSED,224.36034482758626,62.416896551724136
DC000135,Low,CLOSED,219.74888888888884,63.52499999999999
ESI00043,Low,CLOSED,217.4,54.05
DC000210,Medium,CLOSED,215.8374193548387,61.2216129032258
DC000204,Medium,CLOSED,213.93697674418598,58.49186046511628
EDC00041,Low,CLOSED,211.88,65.89
SM000502,Low,CLOSED,210.53689110556942,60.71780548628428
DC000111,Medium,CLOSED,207.52800000000002,59.67
DC000122,Low,CLOSED,206.43382352941177,58.32041176470587
EDC00029,Medium,CLOSED,200.0602564102564,57.507435897435876
NW000407,Medium,CLOSED,188.99857142857147,47.49428571428571
EDC00089,Medium,CLOSED,182.48,53.0
EDC00031,Medium,CLOSED,177.11385964912287,47.55157894736842
ITS00368,Low,CLOSED,175.78016949152538,47.65000000000001
ITS00322,Low,CLOSED,167.6953333333333,46.21866666666666
NW000430,Low,CLOSED,166.8370183486238,47.21417431192663
NW000472,Low,CLOSED,165.82,47.82
DC000205,High,CLOSED,165.48666666666665,165.48666666666665
DC000151,Low,CLOSED,164.89999999999998,46.894999999999996
DC000236,Medium,CLOSED,164.7325,46.9240625
SM000537,Low,CLOSED,162.984203821656,45.18114649681527
ESI00026,Medium,CLOSED,162.235,44.230000000000004
ESI00052,Low,CLOSED,161.525,44.325
NW000400,Low,CLOSED,160.14054263565893,44.02503875968995
NW000521,Low,CLOSED,160.0528205128205,46.205897435897434
SM000558,Medium,CLOSED,153.46636363636364,43.00113636363637
NDS00026,Low,CLOSED,153.32,46.205
DC000159,Low,CLOSED,153.01,41.13
DC000108,Low,CLOSED,150.99499999999998,38.574999999999996
ITS00377,Low,CLOSED,150.21,43.17
DC000101,Medium,CLOSED,148.5908385093169,40.36990683229814
DC000236,Low,CLOSED,148.3117508896799,43.04232028469758
ITS00375,Low,CLOSED,148.16,36.120000000000005
ITS00346,Low,CLOSED,148.125,43.28736842105263
NW000444,Medium,CLOSED,147.54999999999998,44.89666666666667
ITS00343,Low,CLOSED,144.42639484978523,39.19349785407727
DC000139,Low,CLOSED,136.54600000000005,38.37466666666666
EDC00095,Low,CLOSED,136.0705454545454,33.63981818181818
EDC00004,Low,CLOSED,134.42999999999998,37.43
ENT00006,Low,CLOSED,133.82,39.06363636363636
DC000184,Low,CLOSED,132.61,34.0
NW000460,Low,CLOSED,131.84950000000006,37.75524999999999
EDC00001,Low,CLOSED,131.30642857142854,37.48035714285713
SM000585,Low,CLOSED,130.57,28.48
ITS00331,Low,CLOSED,130.50833333333333,35.93388888888889
NW000509,Low,CLOSED,126.49943452380933,36.742321428571394
EDC00025,Low,CLOSED,123.52290909090911,35.70618181818181
SM000559,Low,CLOSED,122.12833333333333,34.11666666666667
DC000224,Low,CLOSED,122.015,32.015
DC000207,Low,CLOSED,121.25756929637531,33.54604477611938
NW000456,Low,CLOSED,121.02,31.01
DC000191,Low,CLOSED,116.79908091123329,31.69813825608796
EDC00003,Low,CLOSED,116.61609022556385,32.31278195488722
ITS00306,High,CLOSED,115.08399999999999,115.08399999999999
NW000406,Low,CLOSED,114.306,33.202
NW000450,Low,CLOSED,113.32,23.32
EDC00030,Low,CLOSED,112.54015873015874,32.60888888888889
NW000508,Low,CLOSED,110.86444785276073,27.8759509202454
NW000488,Low,CLOSED,109.74615384615385,28.35692307692308
DC000115,High,CLOSED,107.66666666666667,107.66666666666667
DC000115,Low,CLOSED,107.12591397849478,28.14487292277619
DC000207,High,CLOSED,104.83888888888886,104.83888888888886
DC000202,Medium,CLOSED,103.53658367911486,28.529557399723362
ITS00360,Low,CLOSED,103.19,17.2
ITS00344,Medium,CLOSED,102.77142857142859,26.91142857142857
DC000200,Low,CLOSED,102.01894598155468,27.888313570487455
DC000183,Medium,CLOSED,100.03666666666668,22.26
NW000424,Low,CLOSED,100.00040322580651,28.46580645161291
ITS00361,Low,CLOSED,99.48,35.4
NW000521,Medium,CLOSED,99.10333333333334,26.095000000000002
ITS00100,Medium,CLOSED,99.07,26.65
EDC00010,Low,CLOSED,97.84709302325584,27.87918604651163
NW000405,Medium,CLOSED,97.80064165844036,27.757966436327724
ITS00313,Medium,CLOSED,96.325,25.325
DC000141,Medium,CLOSED,96.15,20.15
NW000438,Low,CLOSED,95.51301166824355,25.071863765373713
DC000115,Medium,CLOSED,94.96349593495928,27.586666666666666
EDC00030,High,CLOSED,94.41833333333334,94.41833333333334
ITS00308,Medium,CLOSED,94.05,8.03
NW000434,Low,CLOSED,93.75999999999999,20.465
DC000155,Low,CLOSED,93.41789260385012,24.608601823708195
DC000119,Low,CLOSED,93.23704918032787,27.01262295081967
EDC00024,Low,CLOSED,93.06275000000002,28.356000000000005
SM000560,Low,CLOSED,92.74000000000001,26.729999999999997
NW000472,Medium,CLOSED,91.14,15.13
ITS00306,Low,CLOSED,90.80824675324678,24.147207792207784
DC000223,Medium,CLOSED,90.58304347826088,23.520434782608703
ESI00011,Medium,CLOSED,89.65296296296295,25.816296296296287
ESI00011,High,CLOSED,88.97,88.97
NW000476,Medium,CLOSED,88.84,30.0
NW000417,Medium,CLOSED,88.70943589743587,25.062717948717957
ITS00321,Low,CLOSED,88.50666666666666,20.506666666666668
DC000178,Low,CLOSED,88.48261261261263,24.18045045045045
DC000178,High,CLOSED,88.17500000000001,88.17500000000001
NW000417,Low,CLOSED,87.9661421670116,24.084261559696348
ITS00309,Medium,CLOSED,87.79,13.57
ESI00012,Low,CLOSED,85.64999999999999,26.415
ITS00322,Medium,CLOSED,85.41771428571431,26.179714285714287
DC000209,Low,CLOSED,84.61571904497495,22.515741254858384
NW000489,Low,CLOSED,83.77850000000002,23.0475
NW000405,Low,CLOSED,82.27148010610088,20.91358090185675
ITS00307,Medium,CLOSED,82.2456862745098,20.687450980392157
SM000502,High,CLOSED,82.14,82.14
DC000229,Low,CLOSED,81.50757142857142,21.802285714285702
DC000129,Low,CLOSED,81.33247457627118,23.04237288135594
EDC00009,Low,CLOSED,80.85243902439024,22.718292682926837
NW000448,Low,CLOSED,80.71047138047139,20.162020202020205
DC000216,Low,CLOSED,80.62444444444445,27.858888888888888
DC000133,Low,CLOSED,79.83910379882292,22.18204119850184
SM000557,Medium,CLOSED,79.66555555555556,20.33222222222222
NW000431,Low,CLOSED,79.34453558504227,22.90402895054282
NW000433,Low,CLOSED,78.52710054559617,19.16949337490257
NW000431,Medium,CLOSED,78.39052950075651,24.40124054462934
NW000509,Medium,CLOSED,78.16344827586208,24.58551724137931
NW000410,Low,CLOSED,77.4,15.4
DC000107,Medium,CLOSED,77.2989711934157,21.375514403292172
EDC00018,Low,CLOSED,77.20754901960784,23.284509803921573
DC000133,Medium,CLOSED,76.6537226277372,21.12321167883211
SM000501,Low,CLOSED,75.38,23.82
DC000233,Low,CLOSED,73.80999999999997,21.73073170731708
DC000202,Low,CLOSED,72.75013333333337,20.77394545454542
DC000223,Low,CLOSED,71.50384615384615,20.127692307692307
NW000463,Low,CLOSED,70.86460770328095,15.884407988587723
DC000190,Low,CLOSED,69.91666666666667,23.153333333333336
NW000404,Low,CLOSED,68.28145728643214,22.075728643216078
DC000163,Low,CLOSED,67.06766467065863,19.242455089820364
NW000492,Low,CLOSED,67.0142857142857,18.467142857142854
EDC00040,Low,CLOSED,66.9725,23.4775
DC000132,High,CLOSED,66.58363636363636,66.58363636363636
DC000129,Medium,CLOSED,66.45848484848483,18.79090909090909
NS000101,Low,CLOSED,65.058,18.864
DC000242,Low,CLOSED,63.154626865671624,18.03970149253731
EDC00006,Low,CLOSED,61.244194528875326,16.55607902735563
NW000471,Medium,CLOSED,59.63,2.18
EDC00089,Low,CLOSED,59.5475,11.14
NW000449,High,CLOSED,59.309999999999995,59.309999999999995
DC000128,Low,CLOSED,58.651106290672466,17.371041214750544
DC000179,High,CLOSED,58.22,58.22
ITS00340,Low,CLOSED,57.69814814814816,16.37814814814815
DC000107,Low,CLOSED,57.08456692913387,14.022283464566923
SM000537,Medium,CLOSED,56.276235294117676,14.059058823529408
SM000515,Medium,CLOSED,56.04999999999999,11.183333333333332
DC000206,Low,CLOSED,54.59124681933838,13.700025445292617
NW000453,High,CLOSED,54.5,54.5
ITS00344,Low,CLOSED,54.45593750000001,12.909218749999999
COR00553,Low,CLOSED,54.06,10.0
ENT00002,Low,CLOSED,53.5,17.23
DC000246,Medium,CLOSED,53.20857142857142,7.249999999999999
DC000228,Low,CLOSED,51.175,13.27
DC000207,Medium,CLOSED,51.112513812154724,13.884033149171275
EDC00002,Low,CLOSED,50.61276958002276,12.340544835414306
SM000558,Low,CLOSED,50.41242187500001,12.409453125
DC000127,Medium,CLOSED,49.6321497584541,14.654734299516909
ITS00307,Low,CLOSED,48.73125,14.723749999999999
DC000131,Low,CLOSED,48.550000000000004,14.477857142857143
NW000471,Low,CLOSED,47.79333333333333,3.1788888888888884
NW000400,High,CLOSED,47.74,47.74
DC000155,Medium,CLOSED,46.44145970252506,12.345783465928731
NW000433,Medium,CLOSED,44.54545698924729,12.443440860215052
DC000128,Medium,CLOSED,44.155454545454546,14.07318181818182
EDC00051,Low,CLOSED,43.970000000000006,12.77
EDC00048,Medium,CLOSED,43.62,15.62
ITS00370,Low,CLOSED,43.082499999999996,13.5825
EDC00006,Medium,CLOSED,42.44,0.0
NW000431,High,CLOSED,42.21038461538462,42.21038461538462
EDC00053,Medium,CLOSED,41.76,13.75
NW000430,Medium,CLOSED,41.647649572649584,9.27683760683761
ITS00375,Medium,CLOSED,40.930526315789464,7.847719298245614
NW000463,Medium,CLOSED,40.917117346938774,9.852525510204083
NW000420,Low,CLOSED,40.71878787878788,12.770303030303031
DC000206,High,CLOSED,40.20592592592593,40.20592592592593
DC000139,Medium,CLOSED,40.04,5.315
NW000449,Low,CLOSED,39.86905759162305,6.9649738219895285
NW000455,Medium,CLOSED,39.33,15.73
ITS00325,Low,CLOSED,39.071250000000006,10.37375
DC000110,Medium,CLOSED,39.03999999999999,8.518888888888888
DC000178,Medium,CLOSED,39.00393939393938,7.277575757575757
ENT00042,Low,CLOSED,38.964999999999996,15.76
ITS00106,Low,CLOSED,38.96,6.72
DC000200,Medium,CLOSED,38.92144444444444,6.586444444444448
NW000414,High,CLOSED,37.832407407407416,37.832407407407416
DC000221,Low,CLOSED,37.54894654088052,8.211949685534583
DC000188,Low,CLOSED,37.452771767130294,9.998119526017552
NW000459,Low,CLOSED,37.01154428126394,7.541232754784167
ITS00321,Medium,CLOSED,36.644,9.974
SM000561,Low,CLOSED,36.63077669902912,10.442815533980584
NW000414,Medium,CLOSED,36.542926829268296,9.453170731707313
ITS00381,Low,CLOSED,36.330751445086705,12.212369942196537
DC000242,Medium,CLOSED,35.314681372549025,8.93654411764706
EDC00029,High,CLOSED,34.874878048780474,34.874878048780474
DC000245,Low,CLOSED,34.41449799196786,4.573092369477908
NW000459,Medium,CLOSED,34.23711695376249,6.695457842248409
DC000176,Medium,CLOSED,33.725,5.814062500000001
ITS00327,Low,CLOSED,33.58,7.65
NW000405,High,CLOSED,33.32176470588235,33.32176470588235
NW000417,High,CLOSED,33.25666666666667,33.25666666666667
NW000508,Medium,CLOSED,33.25272727272727,8.872727272727273
EDC00066,Low,CLOSED,32.606,5.512
NW000414,Low,CLOSED,31.869436619718318,8.37
DC000130,Low,CLOSED,31.235571428571443,8.877607142857151
DC000222,Medium,CLOSED,29.767999999999994,8.5
ITS00306,Medium,CLOSED,29.612537313432846,6.136268656716417
DC000113,Low,CLOSED,29.408221024258783,7.124743935309978
DC000170,Low,CLOSED,29.23,4.83
DC000152,Medium,CLOSED,29.114625661709105,6.836664986135626
NW000447,Low,CLOSED,28.882413793103442,7.309999999999999
NW000483,Low,CLOSED,28.863333333333333,2.1883333333333335
ESI00026,High,CLOSED,28.43,28.43
NW000444,Low,QUEUED,28.37,14.37
NW000430,High,CLOSED,28.163999999999998,28.163999999999998
ITS00359,Low,CLOSED,27.950000000000003,4.3
ITS00340,Medium,CLOSED,27.830512820512816,8.456923076923077
DC000113,Medium,CLOSED,26.807565217391314,4.639217391304348
ITS00381,Medium,CLOSED,26.515,10.815
NW000463,High,CLOSED,26.5125,26.5125
DC000107,High,CLOSED,26.1843537414966,26.1843537414966
ITS00358,Medium,CLOSED,25.54707182320442,8.45053406998158
CG4TECH,Low,CLOSED,25.34,11.05
EDC00021,Low,CLOSED,25.23054421768709,6.401496598639457
DC000163,Medium,CLOSED,24.740000000000006,10.420000000000002
NW000459,High,CLOSED,24.697258064516127,24.697258064516127
DC000156,Low,CLOSED,24.5555160142349,5.4216370106761484
DC000206,Medium,CLOSED,23.713060109289632,4.727322404371583
EDC00008,Low,CLOSED,23.464444444444446,7.089722222222223
DC000222,Low,CLOSED,23.42,2.975
DC000147,Medium,CLOSED,23.35631578947369,6.147368421052631
ITS00347,Low,CLOSED,23.35,9.14
DC000152,Low,CLOSED,22.646356726179945,4.480247480996997
DC000237,Low,CLOSED,22.418333333333333,10.751666666666667
DC000113,High,CLOSED,21.715,21.715
NW000429,High,CLOSED,20.793333333333333,20.793333333333333
ESI00028,Low,CLOSED,20.755000000000003,7.21875
NW000484,Low,CLOSED,20.185000000000002,6.195
DC000186,Medium,CLOSED,20.15,7.02
DC000188,Medium,CLOSED,19.992160000000005,5.870560000000002
NW000404,Medium,CLOSED,19.9225,1.5325
DC000176,Low,CLOSED,19.916708463949846,4.485015673981192
ESI00026,Low,CLOSED,19.76,5.77
DC000127,Low,CLOSED,18.09059055118108,9.198650680028628
NW000434,High,CLOSED,17.5,17.5
DC000179,Medium,CLOSED,17.16,4.653333333333333
ITS00322,High,CLOSED,17.031000000000002,17.031000000000002
ENT00003,Low,CLOSED,16.61111111111111,4.788888888888889
DC000122,Medium,CLOSED,16.35,4.65
DC000202,High,CLOSED,16.20675,16.20675
DC000173,Low,CLOSED,15.918000000000001,6.433999999999999
DC000111,High,CLOSED,15.73,15.73
NW000448,High,CLOSED,15.155000000000001,15.155000000000001
ITS00340,High,CLOSED,14.919333333333334,14.919333333333334
DC000147,Low,CLOSED,14.61225,2.22375
DC000101,Low,CLOSED,13.981666666666662,3.0458333333333325
NW000448,Medium,CLOSED,13.615,3.025
DC000203,Low,CLOSED,13.398069215291818,1.6816643863179093
NW000420,Medium,CLOSED,13.26764705882353,2.9635294117647057
NW000434,Medium,CLOSED,12.72,1.82
DC000188,High,CLOSED,12.4328125,12.4328125
DC000132,Medium,AWAITVEN,12.41,0.0
EDC00068,Medium,CLOSED,12.04,4.07
SM000557,High,CLOSED,11.776363636363635,11.776363636363635
DC000156,Medium,CLOSED,11.227666666666668,2.0966666666666667
ITS00103,Low,CLOSED,10.86,1.92
DC000203,High,CLOSED,9.763333333333334,9.763333333333334
SM000537,High,CLOSED,9.75,9.75
DC000110,High,CLOSED,9.585,9.585
DC000200,High,CLOSED,9.402857142857142,9.402857142857142
NW000438,High,CLOSED,8.24,8.24
NW000427,Medium,CLOSED,7.389761904761899,2.0279365079365084
SM000558,High,CLOSED,7.088000000000001,7.088000000000001
DC000152,High,CLOSED,6.971326034063262,6.971326034063262
NW000481,High,CLOSED,6.95,6.95
DC000156,High,CLOSED,6.91,6.91
ESI00028,Medium,CLOSED,6.64,6.65
NW000447,Medium,CLOSED,6.375,4.125
DC000127,High,CLOSED,4.087142857142857,4.087142857142857
DC000139,High,CLOSED,3.9,3.9
DC000130,Medium,CLOSED,3.6278431372549007,0.8201960784313727
NW000420,High,CLOSED,3.471818181818182,3.471818181818182
DC000151,High,CLOSED,2.72,2.72
SM000586,Low,CLOSED,2.67,0.0
SM000562,Low,CLOSED,2.549368370298941,0.6739537126325896
EDC00043,Medium,CLOSED,2.52,2.53
DC000129,High,CLOSED,2.365,2.365
SM000562,Medium,CLOSED,2.2964027370478926,0.4211876832844547
DC000131,Medium,CLOSED,2.26,1.135
DC000132,Low,AWAITVEN,2.1266666666666665,0.4383333333333333
DC000193,Low,CLOSED,1.8450000000000002,1.725
SM000561,Medium,CLOSED,1.7691666666666668,0.41083333333333333
EDC00024,Medium,CLOSED,1.66,0.0
ITS00347,Medium,CLOSED,1.42,1.425
EDC00027,Low,CLOSED,1.34,1.35
DC000236,High,CLOSED,1.28,1.28
SM000514,High,CLOSED,1.2,1.2
SM000562,High,CLOSED,1.0877419354838707,1.0877419354838707
NDS00028,Low,CLOSED,1.08,0.0
ITS00344,High,CLOSED,1.0342857142857143,1.0342857142857143
NW000428,Low,CLOSED,0.93,0.275
DC000119,Medium,CLOSED,0.78,0.78
DC000147,High,CLOSED,0.76,0.76
DC000101,High,CLOSED,0.69,0.69
DC000217,Low,CLOSED,0.55,0.55
EU000203,High,CLOSED,0.42,0.42
NW000444,Medium,AWAITVEN,0.37,0.0
NDS00039,Low,CLOSED,0.36,0.37
NW000457,Low,CLOSED,0.31,0.3
DC000166,Low,CLOSED,0.15,0.15
NW000444,Medium,INPROG,0.11,0.0
DC000133,Low,RESOLVED,0.1,0.1
DC000132,Medium,INPROG,,
DC000178,Low,QUEUED,,
DC000209,Low,SLAHOLD,,
DC000226,Low,QUEUED,,
EDC00006,Medium,SLAHOLD,,
ESI00011,Low,AWAITCUS,,
ITS00341,Low,INPROG,,
ITS00341,Low,QUEUED,,
ITS00343,Low,INPROG,,
ITS00343,Low,QUEUED,,
ITS00346,Medium,INPROG,,
NW000405,Low,INPROG,,
NW000405,Low,QUEUED,,
NW000407,Low,INPROG,,
NW000417,Low,QUEUED,,
NW000417,Low,SLAHOLD,,
NW000429,Low,QUEUED,,
NW000430,Low,QUEUED,,
NW000430,Low,SLAHOLD,,
NW000430,Medium,QUEUED,,
NW000430,Medium,SLAHOLD,,
NW000431,Low,INPROG,,
NW000431,Medium,QUEUED,,
NW000438,Low,AWAITCUS,,
NW000438,Low,INPROG,,
NW000438,Low,QUEUED,,
NW000438,Low,SLAHOLD,,
NW000444,Low,INPROG,,
NW000444,Medium,QUEUED,,
NW000445,Low,AWAITCUS,,
NW000453,Low,QUEUED,,
NW000481,Low,INPROG,,
NW000481,Low,QUEUED,,
NW000490,Low,INPROG,,
NW000490,Low,QUEUED,,
