PARENT_SERVICE,STATUS,TIME_IN_STATUS_BY_OWNER_HRS
Midrange,QUEUED,13.551943442816473
Mobile Devices,INPROG,13.410618846579759
Mainframe,INPROG,13.128464708946396
Data Centre Facilities Management,PENDINGCUS,13.05
Directory Services,HISTEDIT,13.037500000075
GC WAN,PENDINGREV,12.550833333184999
GC WAN,INPROG,12.081052194280533
Secure Remote Access,PENDINGREV,11.933333333
Workplace Technology Services,QUEUED,11.799733759338666
Conferencing Services,INPROG,11.62000000004
Email,AWAITVEN,11.1562499999625
Mainframe,AWAITCUS,10.792156862682354
Storage,AWAITVEN,10.48999999994
Fixed Line,QUEUED,10.259259259300002
Intra-building Network Services,PENDINGREV,9.790740740699999
Database,AWAITCUS,9.790000000060001
GC WAN,QUEUED,9.74911784857425
Directory Services,AWAITCUS,9.655555555433333
Mainframe,PENDING,9.60833333315
Storage,INPROG,9.365839694654584
Mobile Devices,QUEUED,8.915080346113477
Government of Canada Managed Security Service,QUEUED,8.637037037033334
Government of Canada Managed Security Service,AWAITCUS,8.5166666667
Government of Canada Managed Security Service,INPROG,8.425000000016666
Email,INPROG,8.256646216745402
Middleware,INPROG,7.747991669158969
Cloud Brokering,INPROG,7.478494623652689
Contact Centre,QUEUED,6.928014184393619
Secure Remote Access,PENDINGVEN,6.7333333333
Directory Services,PENDING,6.633333333433334
Middleware,QUEUED,6.361399243663248
Midrange,PENDINGVEN,5.99166666665
Storage,SLAHOLD,5.655357142857143
Secure Remote Access,PENDING,5.48333333335
Secure Remote Access,SLAHOLD,5.469230769207693
Midrange,HISTEDIT,4.729166666575
Intra-building Network Services,PENDINGVEN,4.4624999999999995
Cloud Brokering,QUEUED,4.276418439712765
Cloud Brokering,SLAHOLD,3.2619047619142854
Internal Credential Management (ICM),SLAHOLD,2.887499999925
Other Activities,PENDINGCHG,2.6777777777666665
Middleware,AWAITVEN,2.5972222222166668
Internal Credential Management (ICM),INPROG,2.5541666666666667
Data Centre Facilities Management,AWAITCHG,1.8333333333
Intra-building Network Services,PENDINGCUS,1.3944444444416666
Email,SLAHOLD,1.15
High-performance Computing,QUEUED,0.8800251881845925
Conferencing Services,SLAHOLD,0.5916666667
Other Activities,RESOLVED,0.574023360284
Database,AWAITCHG,0.48333333335000006
GC WAN,RESOLVED,0.19694010996872935
Directory Services,PENDINGCUS,0.15
Database,SLAHOLD,0.09444444443333333
Storage,AWAITCHG,0.07222222223333334
High-performance Computing,RESOLVED,0.047963197078626195
Other Activities,HISTEDIT,0.023809523814285714
Email,RESOLVED,0.023094688221709007
Middleware,RESOLVED,0.017335048649933456
Managed Secure File Transfer,SLAHOLD,0.01333333336
GC WAN,HISTEDIT,0.011111111116666668
High-performance Computing,HISTEDIT,0.0111111111
Managed Secure File Transfer,INPROG,0.00333333334
Data Centre Facilities Management,RESOLVED,0.0018654884634756994
Midrange,RESOLVED,0.0010341338570960925
Storage,RESOLVED,5.899705008849557e-05
Intra-building Network Services,RESOLVED,3.3448544988293015e-05
Workplace Technology Services,RESOLVED,0.0
Fixed Line,RESOLVED,0.0
Fixed Line,AWAITVEN,0.0
Cloud Brokering,RESOLVED,0.0
Firewall,RESOLVED,0.0
Internal Credential Management (ICM),RESOLVED,0.0
Database,RESOLVED,0.0
Secure Remote Access,RESOLVED,0.0
Mainframe,HISTEDIT,0.0
Mainframe,RESOLVED,0.0
Conferencing Services,RESOLVED,0.0
Contact Centre,AWAITCHG,0.0
Managed Secure File Transfer,RESOLVED,0.0
Contact Centre,AWAITVEN,0.0
Contact Centre,RESOLVED,0.0
Middleware,HISTEDIT,0.0
Contact Centre,SLAHOLD,0.0
Directory Services,RESOLVED,0.0
Middleware,PENDINGVEN,0.0
Mobile Devices,RESOLVED,0.0
Mobile Devices,AWAITCUS,0.0
Midrange,NEW,0.0
Government of Canada Managed Security Service,RESOLVED,0.0
Cloud Brokering,AWAITCHG,
Cloud Brokering,CLOSED,
Conferencing Services,CLOSED,
Contact Centre,CLOSED,
Data Centre Facilities Management,CLOSED,
Database,CLOSED,
Directory Services,AWAITCHG,
Directory Services,CLOSED,
Email,CLOSED,
Firewall,CLOSED,
Fixed Line,CLOSED,
GC WAN,CLOSED,
Government of Canada Managed Security Service,CLOSED,
High-performance Computing,CLOSED,
Internal Credential Management (ICM),CLOSED,
Intra-building Network Services,CLOSED,
Mainframe,CLOSED,
Managed Secure File Transfer,CLOSED,
Middleware,CLOSED,
Midrange,CLOSED,
Mobile Devices,CLOSED,
Other Activities,CLOSED,
Secure Remote Access,AWAITCHG,
Secure Remote Access,CLOSED,
Storage,CLOSED,
Workplace Technology Services,CLOSED,
