service,STATUS,TIME_IN_STATUS_BY_OWNER_HRS
GC WAN National,HISTEDIT,0.00833333335
Managed Secure File Transfer,INPROG,0.00333333334
Midrange - Windows -X86,RESOLVED,0.001475208014943114
Facilities - Data Centre Facilities Racking & Stacking,RESOLVED,0.0012820512826923077
Other - Security,RESOLVED,0.0008928571428571428
IBN - GC Wi-Fi,RESOLVED,9.439899307740719e-05
Storage,RESOLVED,6.0060059999999995e-05
Cloud Brokering,RESOLVED,0.0
Other - Telecom & Network,RESOLVED,0.0
Storage - File,RESOLVED,0.0
Contact Centre,AWAITCHG,0.0
Contact Centre,AWAITVEN,0.0
Conferencing - Videoconferencing,RESOLVED,0.0
Secure Remote Access,RESOLVED,0.0
Workplace Technology Services,RESOLVED,0.0
Midrange - Windows -X86,NEW,0.0
Contact Centre,RESOLVED,0.0
Midrange,RESOLVED,0.0
IBN - Cabling - Install and Material,RESOLVED,0.0
IBN - Data Centre Network,RESOLVED,0.0
IBN - GC LAN,RESOLVED,0.0
Internal Credential Management (ICM),RESOLVED,0.0
Intra-building Network Services,RESOLVED,0.0
Government of Canada Managed Security Service,RESOLVED,0.0
Mainframe,HISTEDIT,0.0
Mainframe,RESOLVED,0.0
GC WAN National,RESOLVED,0.0
Mainframe - zOS & zLinux,RESOLVED,0.0
Managed Secure File Transfer,RESOLVED,0.0
Middleware,HISTEDIT,0.0
Middleware,PENDINGVEN,0.0
Fixed Line,RESOLVED,0.0
Contact Centre,SLAHOLD,0.0
Midrange - Storage and Virtualization,PENDINGCHG,0.0
Fixed Line,AWAITVEN,0.0
Midrange - Storage and Virtualization,RESOLVED,0.0
Firewall,RESOLVED,0.0
Mobile - Enterprise Mobile Device Management (EMDM),AWAITCUS,0.0
Mobile - Enterprise Mobile Device Management (EMDM),RESOLVED,0.0
Other - Data Centre,RESOLVED,0.0
Other - Internal Services & Strategy,AWAITCUS,0.0
Directory Services,RESOLVED,0.0
Other - Internal Services & Strategy,RESOLVED,0.0
Other - Project Management & Delivery,RESOLVED,0.0
Database,RESOLVED,0.0
Data Centre Facilities Management,RESOLVED,0.0
IBN - GC Wi-Fi,PENDINGREV,0.0
Cloud Brokering,AWAITCHG,
Cloud Brokering,CLOSED,
Conferencing - Videoconferencing,CLOSED,
Contact Centre,CLOSED,
Data Centre Facilities Management,AWAITCUS,
Data Centre Facilities Management,CLOSED,
Database,CLOSED,
Directory Services,AWAITCHG,
Directory Services,CLOSED,
Email,CLOSED,
Facilities - Data Centre Facilities Power & Space,CLOSED,
Facilities - Data Centre Facilities Racking & Stacking,CLOSED,
Firewall,CLOSED,
Fixed Line,CLOSED,
GC WAN,CLOSED,
GC WAN National,CLOSED,
Government of Canada Managed Security Service,CLOSED,
HPC - Interaction & Visualization,CLOSED,
HPC -Big Data Exchange,CLOSED,
High-performance Computing,CLOSED,
IBN - Cabling - Install and Material,CLOSED,
IBN - Data Centre Network,CLOSED,
IBN - GC LAN,CLOSED,
IBN - GC Wi-Fi,CLOSED,
Internal Credential Management (ICM),CLOSED,
Intra-building Network Services,CLOSED,
Mainframe,CLOSED,
Mainframe - zOS & zLinux,CLOSED,
Managed Secure File Transfer,CLOSED,
Middleware,CLOSED,
Midrange,CLOSED,
Midrange - Storage and Virtualization,CLOSED,
Midrange - Windows -X86,CLOSED,
Mobile - Enterprise Mobile Device Management (EMDM),CLOSED,
Other - Data Centre,CLOSED,
Other - Internal Services & Strategy,CLOSED,
Other - Project Management & Delivery,CLOSED,
Other - Security,CLOSED,
Other - Service Management,CLOSED,
Other - Telecom & Network,CLOSED,
Secure Remote Access,AWAITCHG,
Secure Remote Access,CLOSED,
Storage,CLOSED,
Storage - File,CLOSED,
Workplace Technology Services,CLOSED,
